,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,299,-1,300
1,1,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,3203,-1,3204
2,2,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,211,-1,212
3,3,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,169,-1,170
4,4,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,801,-1,802
5,5,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,590,-1,591
6,6,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,507,-1,508
7,7,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,1138,-1,1139
8,8,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,632,-1,633
9,9,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,127,-1,128
10,10,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,1096,-1,1097
11,11,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2320,-1,2321
12,12,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,1727,-1,1728
13,13,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2064,-1,2065
14,14,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,3286,-1,3287
15,15,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,632,-1,633
16,16,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,632,-1,633
17,17,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,295,-1,296
18,18,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,4677,-1,4678
19,19,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2234,-1,2235
20,20,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,717,-1,718
21,21,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,5140,-1,5141
22,22,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,801,-1,802
23,23,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2192,-1,2193
24,24,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2738,-1,2739
25,25,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,253,-1,254
26,26,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2065,-1,2066
27,27,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,2992,-1,2993
28,28,433,glumpy_qt5,default,glumpy_qt5_default,small,5,bitblt,464,-1,465
