,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,521,DirectX11,default,DirectX11_default,small,5,getpixel,6932,2981,3951
1,1,521,DirectX11,default,DirectX11_default,small,5,getpixel,6545,2485,4060
2,2,521,DirectX11,default,DirectX11_default,small,5,getpixel,6671,2550,4121
3,3,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2358,4228
4,4,521,DirectX11,default,DirectX11_default,small,5,getpixel,6206,2039,4167
5,5,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1641,3974
6,6,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1502,4112
7,7,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1600,4057
8,8,521,DirectX11,default,DirectX11_default,small,5,getpixel,6587,2496,4091
9,9,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1590,4025
10,10,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1628,3986
11,11,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2569,4063
12,12,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2448,4184
13,13,521,DirectX11,default,DirectX11_default,small,5,getpixel,6164,2235,3929
14,14,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2705,3924
15,15,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2588,4044
16,16,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1799,3816
17,17,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1724,3891
18,18,521,DirectX11,default,DirectX11_default,small,5,getpixel,5698,1874,3824
19,19,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1713,3902
20,20,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2607,4021
21,21,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2687,3945
22,22,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2403,4225
23,23,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1484,4130
24,24,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2755,3874
25,25,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1404,4210
26,26,521,DirectX11,default,DirectX11_default,small,5,getpixel,6630,2459,4171
27,27,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2455,4173
28,28,521,DirectX11,default,DirectX11_default,small,5,getpixel,7178,2989,4189
29,29,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,3068,3518
30,30,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2612,4016
31,31,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1837,3781
32,32,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1695,3962
33,33,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2468,4160
34,34,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2363,4223
35,35,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2587,4042
36,36,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2494,4135
37,37,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2491,4137
38,38,521,DirectX11,default,DirectX11_default,small,5,getpixel,5617,1747,3870
39,39,521,DirectX11,default,DirectX11_default,small,5,getpixel,5658,1482,4176
40,40,521,DirectX11,default,DirectX11_default,small,5,getpixel,6590,2483,4107
41,41,521,DirectX11,default,DirectX11_default,small,5,getpixel,6670,2743,3927
42,42,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2348,4238
43,43,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2503,4129
44,44,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1587,4031
45,45,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1595,4020
46,46,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2758,3871
47,47,521,DirectX11,default,DirectX11_default,small,5,getpixel,6671,2481,4190
48,48,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1601,3972
49,49,521,DirectX11,default,DirectX11_default,small,5,getpixel,5616,2332,3284
50,50,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1830,3827
51,51,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2316,4312
52,52,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,3253,3375
53,53,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2697,3931
54,54,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1787,3828
55,55,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2430,4199
56,56,521,DirectX11,default,DirectX11_default,small,5,getpixel,6630,2472,4158
57,57,521,DirectX11,default,DirectX11_default,small,5,getpixel,6587,2745,3842
58,58,521,DirectX11,default,DirectX11_default,small,5,getpixel,6672,2454,4218
59,59,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2703,3883
60,60,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2608,4020
61,61,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1522,4093
62,62,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1497,4118
63,63,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1550,4107
64,64,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2456,4173
65,65,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1858,3757
66,66,521,DirectX11,default,DirectX11_default,small,5,getpixel,7177,3080,4097
67,67,521,DirectX11,default,DirectX11_default,small,5,getpixel,6590,2867,3723
68,68,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1738,3876
69,69,521,DirectX11,default,DirectX11_default,small,5,getpixel,6672,2916,3756
70,70,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1608,4007
71,71,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1841,3732
72,72,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1975,3682
73,73,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1540,4075
74,74,521,DirectX11,default,DirectX11_default,small,5,getpixel,6163,2253,3910
75,75,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2742,3890
76,76,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1429,4186
77,77,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2461,4167
78,78,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,2690,2925
79,79,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2515,4114
80,80,521,DirectX11,default,DirectX11_default,small,5,getpixel,5616,1556,4060
81,81,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2657,3975
82,82,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1809,3848
83,83,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1507,4107
84,84,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2645,3941
85,85,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1810,3847
86,86,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1553,4062
87,87,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1520,4095
88,88,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2340,4288
89,89,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1600,3973
90,90,521,DirectX11,default,DirectX11_default,small,5,getpixel,6207,2077,4130
91,91,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2427,4202
92,92,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2735,3897
93,93,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2425,4161
94,94,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2614,4014
95,95,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2623,4006
96,96,521,DirectX11,default,DirectX11_default,small,5,getpixel,5658,1752,3906
97,97,521,DirectX11,default,DirectX11_default,small,5,getpixel,5572,1854,3718
98,98,521,DirectX11,default,DirectX11_default,small,5,getpixel,6164,2122,4042
99,99,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2809,3820
100,100,521,DirectX11,default,DirectX11_default,small,5,getpixel,5616,1598,4018
101,101,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2500,4128
102,102,521,DirectX11,default,DirectX11_default,small,5,getpixel,6672,2596,4076
103,103,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1581,4034
104,104,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1550,4065
105,105,521,DirectX11,default,DirectX11_default,small,5,getpixel,5616,1506,4110
106,106,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2423,4205
107,107,521,DirectX11,default,DirectX11_default,small,5,getpixel,7642,1516,6126
108,108,521,DirectX11,default,DirectX11_default,small,5,getpixel,6631,3626,3005
109,109,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1316,4299
110,110,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2565,4064
111,111,521,DirectX11,default,DirectX11_default,small,5,getpixel,6586,2570,4016
112,112,521,DirectX11,default,DirectX11_default,small,5,getpixel,5658,1512,4146
113,113,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1410,4204
114,114,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1398,4216
115,115,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2696,3933
116,116,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1477,4180
117,117,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1841,3774
118,118,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1339,4234
119,119,521,DirectX11,default,DirectX11_default,small,5,getpixel,6671,2605,4066
120,120,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1639,3975
121,121,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1461,4154
122,122,521,DirectX11,default,DirectX11_default,small,5,getpixel,6587,2708,3879
123,123,521,DirectX11,default,DirectX11_default,small,5,getpixel,6670,2511,4159
124,124,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1559,4056
125,125,521,DirectX11,default,DirectX11_default,small,5,getpixel,6164,2053,4111
126,126,521,DirectX11,default,DirectX11_default,small,5,getpixel,6587,2757,3830
127,127,521,DirectX11,default,DirectX11_default,small,5,getpixel,6671,2598,4073
128,128,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1582,4036
129,129,521,DirectX11,default,DirectX11_default,small,5,getpixel,6587,2444,4143
130,130,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1571,4086
131,131,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1586,4032
132,132,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1562,4095
133,133,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1586,3987
134,134,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1521,4094
135,135,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2411,4217
136,136,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1615,4000
137,137,521,DirectX11,default,DirectX11_default,small,5,getpixel,6671,2439,4232
138,138,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1440,4175
139,139,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1510,4108
140,140,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1830,3785
141,141,521,DirectX11,default,DirectX11_default,small,5,getpixel,6631,2380,4251
142,142,521,DirectX11,default,DirectX11_default,small,5,getpixel,5616,1561,4055
143,143,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2431,4198
144,144,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1590,4025
145,145,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1536,4079
146,146,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2511,4117
147,147,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1973,3642
148,148,521,DirectX11,default,DirectX11_default,small,5,getpixel,7180,3042,4138
149,149,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1661,3953
150,150,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1676,3938
151,151,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2693,3939
152,152,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2520,4109
153,153,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2635,3993
154,154,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,4401,2228
155,155,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1674,3899
156,156,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1625,4032
157,157,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1672,3946
158,158,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2656,3973
159,159,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2577,4052
160,160,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1810,3847
161,161,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1323,4292
162,162,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2358,4270
163,163,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1669,3904
164,164,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1577,4038
165,165,521,DirectX11,default,DirectX11_default,small,5,getpixel,6671,2438,4233
166,166,521,DirectX11,default,DirectX11_default,small,5,getpixel,5618,1517,4101
167,167,521,DirectX11,default,DirectX11_default,small,5,getpixel,5614,1265,4349
168,168,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2459,4170
169,169,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2737,3892
170,170,521,DirectX11,default,DirectX11_default,small,5,getpixel,6632,2731,3901
171,171,521,DirectX11,default,DirectX11_default,small,5,getpixel,5573,1573,4000
172,172,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1902,3755
173,173,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2322,4306
174,174,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1719,3896
175,175,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2703,3926
176,176,521,DirectX11,default,DirectX11_default,small,5,getpixel,5615,1656,3959
177,177,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2538,4090
178,178,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2354,4275
179,179,521,DirectX11,default,DirectX11_default,small,5,getpixel,6628,2405,4223
180,180,521,DirectX11,default,DirectX11_default,small,5,getpixel,6589,2723,3866
181,181,521,DirectX11,default,DirectX11_default,small,5,getpixel,6631,2696,3935
182,182,521,DirectX11,default,DirectX11_default,small,5,getpixel,5657,1416,4241
183,183,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2470,4159
184,184,521,DirectX11,default,DirectX11_default,small,5,getpixel,6629,2462,4167
