,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,520,GTK,default,GTK_default,small,5,getdbits,8492,4116,4376
1,1,520,GTK,default,GTK_default,small,5,getdbits,8571,4298,4273
2,2,520,GTK,default,GTK_default,small,5,getdbits,8661,5984,2677
3,3,520,GTK,default,GTK_default,small,5,getdbits,7600,3405,4195
4,4,520,GTK,default,GTK_default,small,5,getdbits,7599,3780,3819
5,5,520,GTK,default,GTK_default,small,5,getdbits,8403,4081,4322
6,6,520,GTK,default,GTK_default,small,5,getdbits,8613,4433,4180
7,7,520,GTK,default,GTK_default,small,5,getdbits,7642,3496,4146
8,8,520,GTK,default,GTK_default,small,5,getdbits,8615,4370,4245
9,9,520,GTK,default,GTK_default,small,5,getdbits,8656,4384,4272
10,10,520,GTK,default,GTK_default,small,5,getdbits,8575,4301,4274
11,11,520,GTK,default,GTK_default,small,5,getdbits,8659,5029,3630
12,12,520,GTK,default,GTK_default,small,5,getdbits,8614,2191,6423
13,13,520,GTK,default,GTK_default,small,5,getdbits,8656,4546,4110
14,14,520,GTK,default,GTK_default,small,5,getdbits,8615,4383,4232
15,15,520,GTK,default,GTK_default,small,5,getdbits,8614,6138,2476
16,16,520,GTK,default,GTK_default,small,5,getdbits,8615,4409,4206
17,17,520,GTK,default,GTK_default,small,5,getdbits,9628,3078,6550
18,18,520,GTK,default,GTK_default,small,5,getdbits,7642,3545,4097
19,19,520,GTK,default,GTK_default,small,5,getdbits,8615,4888,3727
20,20,520,GTK,default,GTK_default,small,5,getdbits,9630,3022,6608
21,21,520,GTK,default,GTK_default,small,5,getdbits,8656,4403,4253
22,22,520,GTK,default,GTK_default,small,5,getdbits,8614,4517,4097
23,23,520,GTK,default,GTK_default,small,5,getdbits,9587,2971,6616
24,24,520,GTK,default,GTK_default,small,5,getdbits,9671,3170,6501
25,25,520,GTK,default,GTK_default,small,5,getdbits,8573,4438,4135
26,26,520,GTK,default,GTK_default,small,5,getdbits,8615,4418,4197
27,27,520,GTK,default,GTK_default,small,5,getdbits,8659,4429,4230
28,28,520,GTK,default,GTK_default,small,5,getdbits,9631,3198,6433
29,29,520,GTK,default,GTK_default,small,5,getdbits,8613,4264,4349
30,30,520,GTK,default,GTK_default,small,5,getdbits,7643,3287,4356
31,31,520,GTK,default,GTK_default,small,5,getdbits,9588,2907,6681
32,32,520,GTK,default,GTK_default,small,5,getdbits,8656,4734,3922
33,33,520,GTK,default,GTK_default,small,5,getdbits,8614,4394,4220
34,34,520,GTK,default,GTK_default,small,5,getdbits,8613,4728,3885
35,35,520,GTK,default,GTK_default,small,5,getdbits,8615,4456,4159
36,36,520,GTK,default,GTK_default,small,5,getdbits,7642,3534,4108
37,37,520,GTK,default,GTK_default,small,5,getdbits,8656,4731,3925
38,38,520,GTK,default,GTK_default,small,5,getdbits,7601,3261,4340
39,39,520,GTK,default,GTK_default,small,5,getdbits,8614,5046,3568
40,40,520,GTK,default,GTK_default,small,5,getdbits,7604,3385,4219
41,41,520,GTK,default,GTK_default,small,5,getdbits,7642,3459,4183
42,42,520,GTK,default,GTK_default,small,5,getdbits,9627,3336,6291
43,43,520,GTK,default,GTK_default,small,5,getdbits,9631,3102,6529
44,44,520,GTK,default,GTK_default,small,5,getdbits,8615,4680,3935
45,45,520,GTK,default,GTK_default,small,5,getdbits,8659,4212,4447
46,46,520,GTK,default,GTK_default,small,5,getdbits,9585,5403,4182
47,47,520,GTK,default,GTK_default,small,5,getdbits,8656,4427,4229
