,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6003,-1,6004
1,1,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5656,-1,5657
2,2,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6713,-1,6714
3,3,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,4730,-1,4731
4,4,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
5,5,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5702,-1,5703
6,6,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6755,-1,6756
7,7,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5661,-1,5662
8,8,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
9,9,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6755,-1,6756
10,10,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5704,-1,5705
11,11,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6671,-1,6672
12,12,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6756,-1,6757
13,13,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
14,14,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5702,-1,5703
15,15,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,7726,-1,7727
16,16,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6713,-1,6714
17,17,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5657,-1,5658
18,18,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6756,-1,6757
19,19,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6670,-1,6671
20,20,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6713,-1,6714
21,21,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6716,-1,6717
22,22,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5699,-1,5700
23,23,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5744,-1,5745
24,24,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
25,25,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5699,-1,5700
26,26,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6713,-1,6714
27,27,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6670,-1,6671
28,28,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5745,-1,5746
29,29,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
30,30,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5699,-1,5700
31,31,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,7727,-1,7728
32,32,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5699,-1,5700
33,33,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
34,34,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5699,-1,5700
35,35,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6713,-1,6714
36,36,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6714,-1,6715
37,37,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6713,-1,6714
38,38,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6675,-1,6676
39,39,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6756,-1,6757
40,40,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5703,-1,5704
41,41,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
42,42,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,6248,-1,6249
43,43,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5700,-1,5701
44,44,520,SDL2_OpenGLES,default,SDL2_OpenGLES_default,small,,none,5703,-1,5704
