,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6169,5672,497
1,1,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6587,2585,4002
2,2,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3614,4029
3,3,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6586,2797,3789
4,4,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7603,3727,3876
5,5,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6674,2726,3948
6,6,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3597,4046
7,7,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7600,3654,3946
8,8,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6630,2620,4010
9,9,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2654,3974
10,10,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6586,2682,3904
11,11,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2764,3864
12,12,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3672,3971
13,13,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6374,2491,3883
14,14,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6632,2638,3994
15,15,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7645,3640,4005
16,16,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7600,3527,4073
17,17,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7599,3641,3958
18,18,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2620,4009
19,19,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2751,3877
20,20,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3681,3961
21,21,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7600,3655,3945
22,22,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6164,2277,3887
23,23,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2691,3937
24,24,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2662,3967
25,25,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7601,3682,3919
26,26,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6671,2783,3888
27,27,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7601,3763,3838
28,28,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3709,3933
29,29,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6630,2686,3944
30,30,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7599,3705,3894
31,31,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2688,3941
32,32,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3740,3902
33,33,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7602,3680,3922
34,34,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7601,3687,3914
35,35,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7646,3646,4000
36,36,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3617,4026
37,37,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7601,3492,4109
38,38,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2648,3980
39,39,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3699,3943
40,40,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6586,2574,4012
41,41,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3609,4034
42,42,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7641,3635,4006
43,43,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6587,2701,3886
44,44,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7647,3641,4006
45,45,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6630,2824,3806
46,46,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3660,3983
47,47,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6633,2529,4104
48,48,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7568,3552,4016
49,49,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7641,3594,4047
50,50,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7644,3665,3979
51,51,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3586,4057
52,52,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7599,3555,4044
53,53,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2712,3916
54,54,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6632,3690,2942
55,55,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7601,3623,3978
56,56,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7600,3757,3843
57,57,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3766,3876
58,58,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6674,2791,3883
59,59,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7604,3525,4079
60,60,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3677,3965
61,61,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6628,2662,3966
62,62,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6587,2693,3894
63,63,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2650,3979
64,64,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7642,3618,4024
65,65,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7601,3538,4063
66,66,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6670,2695,3975
67,67,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7599,3644,3955
68,68,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2732,3897
69,69,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7599,3656,3943
70,70,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7643,3611,4032
71,71,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2566,4063
72,72,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,7600,3661,3939
73,73,520,SDL2_OpenGLES2,default,SDL2_OpenGLES2_default,small,5,windup_fullscreen,6629,2609,4020
