,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8577,1618,6959
1,1,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7558,1278,6280
2,2,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8656,4405,4251
3,3,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,4214,4400
4,4,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6587,1100,5487
5,5,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7685,3358,4327
6,6,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8571,4245,4326
7,7,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7645,3503,4142
8,8,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7646,1378,6268
9,9,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6630,2222,4408
10,10,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7603,3374,4229
11,11,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8615,2171,6444
12,12,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,2221,4407
13,13,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7178,2775,4403
14,14,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3277,4365
15,15,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,3501,4099
16,16,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7644,3272,4372
17,17,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8615,1786,6829
18,18,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7645,3325,4320
19,19,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6587,2429,4158
20,20,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,1343,6300
21,21,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8617,1930,6687
22,22,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,2375,4253
23,23,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8613,2008,6605
24,24,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,4222,4392
25,25,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8657,2078,6579
26,26,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,4246,4368
27,27,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8618,1462,7156
28,28,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,3507,4093
29,29,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3285,4357
30,30,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,3178,4423
31,31,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8656,1464,7192
32,32,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7646,3332,4314
33,33,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6586,2295,4291
34,34,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6670,2378,4292
35,35,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7599,3271,4328
36,36,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,1963,6651
37,37,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8618,1204,7414
38,38,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7646,1392,6254
39,39,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6586,2180,4406
40,40,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3668,3974
41,41,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,1193,5435
42,42,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6629,2530,4099
43,43,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,3388,4255
44,44,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7562,3257,4305
45,45,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6670,2555,4115
46,46,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7602,3233,4369
47,47,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6632,2172,4460
48,48,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6629,1273,5356
49,49,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6586,3743,2843
50,50,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,1391,6252
51,51,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,2514,4114
52,52,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,3708,2920
53,53,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7603,3384,4219
54,54,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8659,2140,6519
55,55,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7604,1463,6141
56,56,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,3206,4395
57,57,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6671,2635,4036
58,58,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6587,1210,5377
59,59,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7641,1249,6392
60,60,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6629,1261,5368
61,61,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,1133,6467
62,62,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6672,2217,4455
63,63,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7604,3450,4154
64,64,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3301,4341
65,65,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,3287,4314
66,66,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6631,2225,4406
67,67,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,2107,6507
68,68,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,3501,4142
69,69,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8149,1682,6467
70,70,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,1619,6024
71,71,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6587,1065,5522
72,72,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3272,4370
73,73,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,995,6647
74,74,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6587,2339,4248
75,75,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6671,2494,4177
76,76,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,3242,4358
77,77,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6590,2240,4350
78,78,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6674,1217,5457
79,79,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,1350,6250
80,80,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6630,2574,4056
81,81,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7641,3489,4152
82,82,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,1187,6414
83,83,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,1268,6375
84,84,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,1088,6513
85,85,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7644,1149,6495
86,86,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8613,1917,6696
87,87,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8613,1575,7038
88,88,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,3363,4280
89,89,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3337,4305
90,90,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6590,2453,4137
91,91,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8657,2212,6445
92,92,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7603,1297,6306
93,93,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,1182,6461
94,94,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,3208,4393
95,95,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8656,4247,4409
96,96,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7603,987,6616
97,97,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,1472,7142
98,98,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8617,1613,7004
99,99,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,3384,4259
100,100,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8655,1919,6736
101,101,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7599,3338,4261
102,102,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7641,3518,4123
103,103,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,3368,4233
104,104,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7646,3345,4301
105,105,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8571,1403,7168
106,106,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3321,4321
107,107,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7653,3433,4220
108,108,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8613,1310,7303
109,109,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6629,2238,4391
110,110,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8614,4239,4375
111,111,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7599,3376,4223
112,112,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7641,981,6660
113,113,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7688,3514,4174
114,114,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,1279,5349
115,115,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7601,3354,4247
116,116,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6628,2241,4387
117,117,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6671,2452,4219
118,118,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6586,2487,4099
119,119,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,6633,2262,4371
120,120,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,3395,4248
121,121,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7602,3194,4408
122,122,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7643,3301,4342
123,123,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7642,3461,4181
124,124,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,8575,1330,7245
125,125,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7645,3354,4291
126,126,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,1484,6116
127,127,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7644,3298,4346
128,128,520,SDL2_OpenGL,default,SDL2_OpenGL_default,small,5,getpixel,7600,1135,6465
