,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,383,-1,384
1,1,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,505,-1,506
2,2,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,211,-1,212
3,3,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,589,-1,590
4,4,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,378,-1,379
5,5,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,211,-1,212
6,6,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,126,-1,127
7,7,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,252,-1,253
8,8,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,589,-1,590
9,9,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,588,-1,589
10,10,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,1177,-1,1178
11,11,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,799,-1,800
12,12,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,211,-1,212
13,13,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,421,-1,422
14,14,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,1177,-1,1178
15,15,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,588,-1,589
16,16,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,799,-1,800
17,17,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,337,-1,338
18,18,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,2186,-1,2187
19,19,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,253,-1,254
20,20,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,967,-1,968
21,21,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,462,-1,463
22,22,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,2606,-1,2607
23,23,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,127,-1,128
24,24,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,252,-1,253
25,25,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,631,-1,632
26,26,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,4622,-1,4623
27,27,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,421,-1,422
28,28,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,2438,-1,2439
29,29,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,1807,-1,1808
30,30,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,1640,-1,1641
31,31,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,379,-1,380
32,32,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,1009,-1,1010
33,33,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,2522,-1,2523
34,34,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,168,-1,169
35,35,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,1177,-1,1178
36,36,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,85,-1,86
37,37,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,2311,-1,2312
38,38,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,588,-1,589
39,39,GLEW_SDL_vsync,default,GLEW_SDL_vsync_default,windup,True,windup_True,5631,-1,5632
