,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,551,-1,552
1,1,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,8487,-1,8488
2,2,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,1177,-1,1178
3,3,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,12943,-1,12944
4,4,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,14117,-1,14118
5,5,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,6512,-1,6513
6,6,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,15548,-1,15549
7,7,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,13277,-1,13278
8,8,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,3109,-1,3110
9,9,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,16890,-1,16891
10,10,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,4454,-1,4455
11,11,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,24662,-1,24663
12,12,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,32144,-1,32145
13,13,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,2773,-1,2774
14,14,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,3236,-1,3237
15,15,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,1471,-1,1472
16,16,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,1933,-1,1934
17,17,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,10672,-1,10673
18,18,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,13616,-1,13617
19,19,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,13949,-1,13950
20,20,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,16847,-1,16848
21,21,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,18868,-1,18869
22,22,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,3991,-1,3992
23,23,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,14369,-1,14370
24,24,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,5129,-1,5130
25,25,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,13321,-1,13322
26,26,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,10462,-1,10463
27,27,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,463,-1,464
28,28,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,253,-1,254
29,29,GLEW_SDL_vsync,rects,GLEW_SDL_vsync_rects,windup,False,windup_False,4160,-1,4161
