,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyglet,rects,pyglet_rects,windup,True,windup_True,21590,18773,2817
1,1,pyglet,rects,pyglet_rects,windup,True,windup_True,16680,12408,4272
2,2,pyglet,rects,pyglet_rects,windup,True,windup_True,12713,8972,3741
3,3,pyglet,rects,pyglet_rects,windup,True,windup_True,13685,9324,4361
4,4,pyglet,rects,pyglet_rects,windup,True,windup_True,13724,9682,4042
5,5,pyglet,rects,pyglet_rects,windup,True,windup_True,19685,16276,3409
6,6,pyglet,rects,pyglet_rects,windup,True,windup_True,6713,3453,3260
7,7,pyglet,rects,pyglet_rects,windup,True,windup_True,11696,8390,3306
8,8,pyglet,rects,pyglet_rects,windup,True,windup_True,14699,10538,4161
9,9,pyglet,rects,pyglet_rects,windup,True,windup_True,10729,8106,2623
10,10,pyglet,rects,pyglet_rects,windup,True,windup_True,22679,19072,3607
11,11,pyglet,rects,pyglet_rects,windup,True,windup_True,20736,16315,4421
12,12,pyglet,rects,pyglet_rects,windup,True,windup_True,16685,13815,2870
13,13,pyglet,rects,pyglet_rects,windup,True,windup_True,6713,3534,3179
14,14,pyglet,rects,pyglet_rects,windup,True,windup_True,10728,8013,2715
15,15,pyglet,rects,pyglet_rects,windup,True,windup_True,7686,4560,3126
16,16,pyglet,rects,pyglet_rects,windup,True,windup_True,21713,17897,3816
17,17,pyglet,rects,pyglet_rects,windup,True,windup_True,17737,14394,3343
18,18,pyglet,rects,pyglet_rects,windup,True,windup_True,12675,9580,3095
19,19,pyglet,rects,pyglet_rects,windup,True,windup_True,16686,14168,2518
20,20,pyglet,rects,pyglet_rects,windup,True,windup_True,19728,15781,3947
21,21,pyglet,rects,pyglet_rects,windup,True,windup_True,6671,3573,3098
22,22,pyglet,rects,pyglet_rects,windup,True,windup_True,14738,11158,3580
23,23,pyglet,rects,pyglet_rects,windup,True,windup_True,9248,5754,3494
24,24,pyglet,rects,pyglet_rects,windup,True,windup_True,13682,10834,2848
25,25,pyglet,rects,pyglet_rects,windup,True,windup_True,11697,7703,3994
26,26,pyglet,rects,pyglet_rects,windup,True,windup_True,8700,5549,3151
27,27,pyglet,rects,pyglet_rects,windup,True,windup_True,12717,8469,4248
28,28,pyglet,rects,pyglet_rects,windup,True,windup_True,8700,5296,3404
29,29,pyglet,rects,pyglet_rects,windup,True,windup_True,16723,13807,2916
30,30,pyglet,rects,pyglet_rects,windup,True,windup_True,17699,14670,3029
31,31,pyglet,rects,pyglet_rects,windup,True,windup_True,16684,14091,2593
32,32,pyglet,rects,pyglet_rects,windup,True,windup_True,10770,7836,2934
33,33,pyglet,rects,pyglet_rects,windup,True,windup_True,15675,12682,2993
34,34,pyglet,rects,pyglet_rects,windup,True,windup_True,12714,9961,2753
35,35,pyglet,rects,pyglet_rects,windup,True,windup_True,13685,10299,3386
36,36,pyglet,rects,pyglet_rects,windup,True,windup_True,19257,15355,3902
37,37,pyglet,rects,pyglet_rects,windup,True,windup_True,20693,17435,3258
38,38,pyglet,rects,pyglet_rects,windup,True,windup_True,17697,15015,2682
39,39,pyglet,rects,pyglet_rects,windup,True,windup_True,18708,14394,4314
40,40,pyglet,rects,pyglet_rects,windup,True,windup_True,13728,9953,3775
41,41,pyglet,rects,pyglet_rects,windup,True,windup_True,7686,4200,3486
42,42,pyglet,rects,pyglet_rects,windup,True,windup_True,9713,7279,2434
43,43,pyglet,rects,pyglet_rects,windup,True,windup_True,18669,15943,2726
44,44,pyglet,rects,pyglet_rects,windup,True,windup_True,15755,12187,3568
45,45,pyglet,rects,pyglet_rects,windup,True,windup_True,22678,18388,4290
46,46,pyglet,rects,pyglet_rects,windup,True,windup_True,16688,13453,3235
47,47,pyglet,rects,pyglet_rects,windup,True,windup_True,9713,6751,2962
48,48,pyglet,rects,pyglet_rects,windup,True,windup_True,16727,12800,3927
49,49,pyglet,rects,pyglet_rects,windup,True,windup_True,19222,16444,2778
50,50,pyglet,rects,pyglet_rects,windup,True,windup_True,16730,14185,2545
51,51,pyglet,rects,pyglet_rects,windup,True,windup_True,11699,7611,4088
52,52,pyglet,rects,pyglet_rects,windup,True,windup_True,9717,5658,4059
53,53,pyglet,rects,pyglet_rects,windup,True,windup_True,23695,20117,3578
54,54,pyglet,rects,pyglet_rects,windup,True,windup_True,10263,7170,3093
55,55,pyglet,rects,pyglet_rects,windup,True,windup_True,16684,12698,3986
56,56,pyglet,rects,pyglet_rects,windup,True,windup_True,10728,7651,3077
57,57,pyglet,rects,pyglet_rects,windup,True,windup_True,9671,6551,3120
58,58,pyglet,rects,pyglet_rects,windup,True,windup_True,16723,13390,3333
59,59,pyglet,rects,pyglet_rects,windup,True,windup_True,17736,15178,2558
60,60,pyglet,rects,pyglet_rects,windup,True,windup_True,7689,4634,3055
61,61,pyglet,rects,pyglet_rects,windup,True,windup_True,17694,14184,3510
62,62,pyglet,rects,pyglet_rects,windup,True,windup_True,7689,4231,3458
63,63,pyglet,rects,pyglet_rects,windup,True,windup_True,7727,4391,3336
64,64,pyglet,rects,pyglet_rects,windup,True,windup_True,21712,17488,4224
65,65,pyglet,rects,pyglet_rects,windup,True,windup_True,16683,14570,2113
66,66,pyglet,rects,pyglet_rects,windup,True,windup_True,13724,10422,3302
67,67,pyglet,rects,pyglet_rects,windup,True,windup_True,20658,17083,3575
68,68,pyglet,rects,pyglet_rects,windup,True,windup_True,9717,6072,3645
69,69,pyglet,rects,pyglet_rects,windup,True,windup_True,17740,14208,3532
70,70,pyglet,rects,pyglet_rects,windup,True,windup_True,19689,15825,3864
71,71,pyglet,rects,pyglet_rects,windup,True,windup_True,15713,12237,3476
72,72,pyglet,rects,pyglet_rects,windup,True,windup_True,16724,12894,3830
73,73,pyglet,rects,pyglet_rects,windup,True,windup_True,15671,13067,2604
74,74,pyglet,rects,pyglet_rects,windup,True,windup_True,14702,11140,3562
75,75,pyglet,rects,pyglet_rects,windup,True,windup_True,14699,11297,3402
76,76,pyglet,rects,pyglet_rects,windup,True,windup_True,17695,13748,3947
77,77,pyglet,rects,pyglet_rects,windup,True,windup_True,7689,4194,3495
78,78,pyglet,rects,pyglet_rects,windup,True,windup_True,9714,5757,3957
79,79,pyglet,rects,pyglet_rects,windup,True,windup_True,7727,4151,3576
80,80,pyglet,rects,pyglet_rects,windup,True,windup_True,14699,11661,3038
81,81,pyglet,rects,pyglet_rects,windup,True,windup_True,14737,11725,3012
82,82,pyglet,rects,pyglet_rects,windup,True,windup_True,9711,6207,3504
83,83,pyglet,rects,pyglet_rects,windup,True,windup_True,7684,4181,3503
84,84,pyglet,rects,pyglet_rects,windup,True,windup_True,9712,6078,3634
85,85,pyglet,rects,pyglet_rects,windup,True,windup_True,8742,5678,3064
86,86,pyglet,rects,pyglet_rects,windup,True,windup_True,13685,11131,2554
87,87,pyglet,rects,pyglet_rects,windup,True,windup_True,21666,17808,3858
88,88,pyglet,rects,pyglet_rects,windup,True,windup_True,13724,9996,3728
89,89,pyglet,rects,pyglet_rects,windup,True,windup_True,11740,7802,3938
90,90,pyglet,rects,pyglet_rects,windup,True,windup_True,19687,15573,4114
91,91,pyglet,rects,pyglet_rects,windup,True,windup_True,16681,12385,4296
92,92,pyglet,rects,pyglet_rects,windup,True,windup_True,12669,9342,3327
93,93,pyglet,rects,pyglet_rects,windup,True,windup_True,19768,16226,3542
94,94,pyglet,rects,pyglet_rects,windup,True,windup_True,10683,7274,3409
95,95,pyglet,rects,pyglet_rects,windup,True,windup_True,10728,8386,2342
96,96,pyglet,rects,pyglet_rects,windup,True,windup_True,13695,11422,2273
97,97,pyglet,rects,pyglet_rects,windup,True,windup_True,14699,10533,4166
98,98,pyglet,rects,pyglet_rects,windup,True,windup_True,7685,4745,2940
99,99,pyglet,rects,pyglet_rects,windup,True,windup_True,21711,19181,2530
100,100,pyglet,rects,pyglet_rects,windup,True,windup_True,19727,16171,3556
101,101,pyglet,rects,pyglet_rects,windup,True,windup_True,18670,15057,3613
102,102,pyglet,rects,pyglet_rects,windup,True,windup_True,22720,19730,2990
103,103,pyglet,rects,pyglet_rects,windup,True,windup_True,12716,9390,3326
104,104,pyglet,rects,pyglet_rects,windup,True,windup_True,7726,5006,2720
105,105,pyglet,rects,pyglet_rects,windup,True,windup_True,19688,17002,2686
106,106,pyglet,rects,pyglet_rects,windup,True,windup_True,19685,15837,3848
107,107,pyglet,rects,pyglet_rects,windup,True,windup_True,9711,6157,3554
108,108,pyglet,rects,pyglet_rects,windup,True,windup_True,15710,12638,3072
109,109,pyglet,rects,pyglet_rects,windup,True,windup_True,10683,7037,3646
110,110,pyglet,rects,pyglet_rects,windup,True,windup_True,10730,7249,3481
111,111,pyglet,rects,pyglet_rects,windup,True,windup_True,8699,5234,3465
112,112,pyglet,rects,pyglet_rects,windup,True,windup_True,19727,15443,4284
113,113,pyglet,rects,pyglet_rects,windup,True,windup_True,13686,9992,3694
114,114,pyglet,rects,pyglet_rects,windup,True,windup_True,19722,15917,3805
115,115,pyglet,rects,pyglet_rects,windup,True,windup_True,8698,5869,2829
116,116,pyglet,rects,pyglet_rects,windup,True,windup_True,23740,20152,3588
117,117,pyglet,rects,pyglet_rects,windup,True,windup_True,17694,14882,2812
118,118,pyglet,rects,pyglet_rects,windup,True,windup_True,7684,4126,3558
119,119,pyglet,rects,pyglet_rects,windup,True,windup_True,20741,17791,2950
120,120,pyglet,rects,pyglet_rects,windup,True,windup_True,8658,6032,2626
121,121,pyglet,rects,pyglet_rects,windup,True,windup_True,13730,10192,3538
122,122,pyglet,rects,pyglet_rects,windup,True,windup_True,8702,5681,3021
123,123,pyglet,rects,pyglet_rects,windup,True,windup_True,20697,16533,4164
124,124,pyglet,rects,pyglet_rects,windup,True,windup_True,7689,4428,3261
125,125,pyglet,rects,pyglet_rects,windup,True,windup_True,13682,10159,3523
126,126,pyglet,rects,pyglet_rects,windup,True,windup_True,7769,5076,2693
127,127,pyglet,rects,pyglet_rects,windup,True,windup_True,14653,11060,3593
128,128,pyglet,rects,pyglet_rects,windup,True,windup_True,11741,9270,2471
129,129,pyglet,rects,pyglet_rects,windup,True,windup_True,7686,4133,3553
130,130,pyglet,rects,pyglet_rects,windup,True,windup_True,15709,12303,3406
131,131,pyglet,rects,pyglet_rects,windup,True,windup_True,18750,15193,3557
132,132,pyglet,rects,pyglet_rects,windup,True,windup_True,14658,10353,4305
133,133,pyglet,rects,pyglet_rects,windup,True,windup_True,11742,9151,2591
134,134,pyglet,rects,pyglet_rects,windup,True,windup_True,18670,14769,3901
135,135,pyglet,rects,pyglet_rects,windup,True,windup_True,23698,19966,3732
136,136,pyglet,rects,pyglet_rects,windup,True,windup_True,20697,16997,3700
137,137,pyglet,rects,pyglet_rects,windup,True,windup_True,18751,15051,3700
138,138,pyglet,rects,pyglet_rects,windup,True,windup_True,21707,18956,2751
139,139,pyglet,rects,pyglet_rects,windup,True,windup_True,21200,17469,3731
140,140,pyglet,rects,pyglet_rects,windup,True,windup_True,8742,6199,2543
141,141,pyglet,rects,pyglet_rects,windup,True,windup_True,10683,7626,3057
142,142,pyglet,rects,pyglet_rects,windup,True,windup_True,21710,19015,2695
143,143,pyglet,rects,pyglet_rects,windup,True,windup_True,10725,7530,3195
144,144,pyglet,rects,pyglet_rects,windup,True,windup_True,16681,13355,3326
145,145,pyglet,rects,pyglet_rects,windup,True,windup_True,19725,15836,3889
146,146,pyglet,rects,pyglet_rects,windup,True,windup_True,12671,9637,3034
147,147,pyglet,rects,pyglet_rects,windup,True,windup_True,17697,15259,2438
148,148,pyglet,rects,pyglet_rects,windup,True,windup_True,10727,7683,3044
149,149,pyglet,rects,pyglet_rects,windup,True,windup_True,22684,19748,2936
150,150,pyglet,rects,pyglet_rects,windup,True,windup_True,20739,18128,2611
151,151,pyglet,rects,pyglet_rects,windup,True,windup_True,21713,19133,2580
152,152,pyglet,rects,pyglet_rects,windup,True,windup_True,19680,17227,2453
153,153,pyglet,rects,pyglet_rects,windup,True,windup_True,6755,3125,3630
154,154,pyglet,rects,pyglet_rects,windup,True,windup_True,23692,19945,3747
155,155,pyglet,rects,pyglet_rects,windup,True,windup_True,11699,9090,2609
156,156,pyglet,rects,pyglet_rects,windup,True,windup_True,18716,14366,4350
157,157,pyglet,rects,pyglet_rects,windup,True,windup_True,10686,7054,3632
158,158,pyglet,rects,pyglet_rects,windup,True,windup_True,16722,12709,4013
159,159,pyglet,rects,pyglet_rects,windup,True,windup_True,18674,15228,3446
160,160,pyglet,rects,pyglet_rects,windup,True,windup_True,20739,17053,3686
161,161,pyglet,rects,pyglet_rects,windup,True,windup_True,18674,15682,2992
162,162,pyglet,rects,pyglet_rects,windup,True,windup_True,14703,11863,2840
163,163,pyglet,rects,pyglet_rects,windup,True,windup_True,16681,14120,2561
164,164,pyglet,rects,pyglet_rects,windup,True,windup_True,20743,16461,4282
165,165,pyglet,rects,pyglet_rects,windup,True,windup_True,12673,8903,3770
166,166,pyglet,rects,pyglet_rects,windup,True,windup_True,13724,10387,3337
167,167,pyglet,rects,pyglet_rects,windup,True,windup_True,18715,15492,3223
168,168,pyglet,rects,pyglet_rects,windup,True,windup_True,8742,5174,3568
169,169,pyglet,rects,pyglet_rects,windup,True,windup_True,17657,14178,3479
170,170,pyglet,rects,pyglet_rects,windup,True,windup_True,17741,13599,4142
171,171,pyglet,rects,pyglet_rects,windup,True,windup_True,23741,19578,4163
172,172,pyglet,rects,pyglet_rects,windup,True,windup_True,13726,11210,2516
173,173,pyglet,rects,pyglet_rects,windup,True,windup_True,15709,12931,2778
174,174,pyglet,rects,pyglet_rects,windup,True,windup_True,8661,5319,3342
175,175,pyglet,rects,pyglet_rects,windup,True,windup_True,8740,5612,3128
176,176,pyglet,rects,pyglet_rects,windup,True,windup_True,9711,6735,2976
177,177,pyglet,rects,pyglet_rects,windup,True,windup_True,15713,12177,3536
178,178,pyglet,rects,pyglet_rects,windup,True,windup_True,9669,5510,4159
179,179,pyglet,rects,pyglet_rects,windup,True,windup_True,19769,15891,3878
180,180,pyglet,rects,pyglet_rects,windup,True,windup_True,18666,16104,2562
181,181,pyglet,rects,pyglet_rects,windup,True,windup_True,17234,13465,3769
182,182,pyglet,rects,pyglet_rects,windup,True,windup_True,11697,9116,2581
183,183,pyglet,rects,pyglet_rects,windup,True,windup_True,8698,5666,3032
184,184,pyglet,rects,pyglet_rects,windup,True,windup_True,23741,21482,2259
185,185,pyglet,rects,pyglet_rects,windup,True,windup_True,13685,10753,2932
186,186,pyglet,rects,pyglet_rects,windup,True,windup_True,12713,8511,4202
187,187,pyglet,rects,pyglet_rects,windup,True,windup_True,20694,17900,2794
188,188,pyglet,rects,pyglet_rects,windup,True,windup_True,11743,7415,4328
189,189,pyglet,rects,pyglet_rects,windup,True,windup_True,19687,16651,3036
190,190,pyglet,rects,pyglet_rects,windup,True,windup_True,7727,4083,3644
191,191,pyglet,rects,pyglet_rects,windup,True,windup_True,14695,11805,2890
192,192,pyglet,rects,pyglet_rects,windup,True,windup_True,9670,5998,3672
193,193,pyglet,rects,pyglet_rects,windup,True,windup_True,16730,13636,3094
194,194,pyglet,rects,pyglet_rects,windup,True,windup_True,7685,4869,2816
195,195,pyglet,rects,pyglet_rects,windup,True,windup_True,14742,10489,4253
196,196,pyglet,rects,pyglet_rects,windup,True,windup_True,23702,19867,3835
197,197,pyglet,rects,pyglet_rects,windup,True,windup_True,11697,9180,2517
198,198,pyglet,rects,pyglet_rects,windup,True,windup_True,18675,14920,3755
199,199,pyglet,rects,pyglet_rects,windup,True,windup_True,13726,10444,3282
