,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20363,17033,3330
1,1,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20655,16621,4034
2,2,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19727,15884,3843
3,3,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19679,15586,4093
4,4,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20736,16836,3900
5,5,pyqt5,rects,pyqt5_rects,windup,True,windup_True,18670,14683,3987
6,6,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20736,16698,4038
7,7,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20694,16642,4052
8,8,pyqt5,rects,pyqt5_rects,windup,True,windup_True,21712,17403,4309
9,9,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20699,16604,4095
10,10,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19679,15564,4115
11,11,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20741,16549,4192
12,12,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20657,16684,3973
13,13,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19764,15860,3904
14,14,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20693,16598,4095
15,15,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19730,15678,4052
16,16,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19684,15569,4115
17,17,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19679,15493,4186
18,18,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20740,16634,4106
19,19,pyqt5,rects,pyqt5_rects,windup,True,windup_True,21711,17617,4094
20,20,pyqt5,rects,pyqt5_rects,windup,True,windup_True,21246,17122,4124
21,21,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19681,17333,2348
22,22,pyqt5,rects,pyqt5_rects,windup,True,windup_True,18712,14381,4331
23,23,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20695,16645,4050
24,24,pyqt5,rects,pyqt5_rects,windup,True,windup_True,19721,17288,2433
25,25,pyqt5,rects,pyqt5_rects,windup,True,windup_True,21669,17544,4125
26,26,pyqt5,rects,pyqt5_rects,windup,True,windup_True,20694,16619,4075
