,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13478,-1,13479
1,1,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14488,-1,14489
2,2,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16511,-1,16512
3,3,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14569,-1,14570
4,4,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13048,-1,13049
5,5,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16047,-1,16048
6,6,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
7,7,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13597,-1,13598
8,8,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14020,-1,14021
9,9,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14062,-1,14063
10,10,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12542,-1,12543
11,11,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14485,-1,14486
12,12,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9500,-1,9501
13,13,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10599,-1,10600
14,14,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13048,-1,13049
15,15,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15037,-1,15038
16,16,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
17,17,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10979,-1,10980
18,18,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12503,-1,12504
19,19,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15498,-1,15499
20,20,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14571,-1,14572
21,21,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14527,-1,14528
22,22,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12545,-1,12546
23,23,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11528,-1,11529
24,24,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11527,-1,11528
25,25,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10560,-1,10561
26,26,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
27,27,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15502,-1,15503
28,28,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
29,29,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14485,-1,14486
30,30,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15076,-1,15077
31,31,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9543,-1,9544
32,32,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11485,-1,11486
33,33,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14527,-1,14528
34,34,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16516,-1,16517
35,35,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15498,-1,15499
36,36,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16557,-1,16558
37,37,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10473,-1,10474
38,38,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14531,-1,14532
39,39,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14527,-1,14528
40,40,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
41,41,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
42,42,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14488,-1,14489
43,43,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9542,-1,9543
44,44,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11488,-1,11489
45,45,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
46,46,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11489,-1,11490
47,47,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13558,-1,13559
48,48,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15502,-1,15503
49,49,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
50,50,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14527,-1,14528
51,51,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11528,-1,11529
52,52,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
53,53,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9036,-1,9037
54,54,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15118,-1,15119
55,55,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14485,-1,14486
56,56,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
57,57,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16511,-1,16512
58,58,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13558,-1,13559
59,59,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14485,-1,14486
60,60,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
61,61,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
62,62,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14527,-1,14528
63,63,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11021,-1,11022
64,64,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15076,-1,15077
65,65,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
66,66,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
67,67,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13048,-1,13049
68,68,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15501,-1,15502
69,69,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12077,-1,12078
70,70,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9500,-1,9501
71,71,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
72,72,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
73,73,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13512,-1,13513
74,74,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
75,75,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
76,76,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13516,-1,13517
77,77,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16515,-1,16516
78,78,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15502,-1,15503
79,79,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14527,-1,14528
80,80,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11233,-1,11234
81,81,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10556,-1,10557
82,82,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13049,-1,13050
83,83,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16516,-1,16517
84,84,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13512,-1,13513
85,85,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9501,-1,9502
86,86,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14062,-1,14063
87,87,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
88,88,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14530,-1,14531
89,89,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15502,-1,15503
90,90,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10556,-1,10557
91,91,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9500,-1,9501
92,92,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15541,-1,15542
93,93,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15498,-1,15499
94,94,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14530,-1,14531
95,95,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
96,96,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16131,-1,16132
97,97,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15501,-1,15502
98,98,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15541,-1,15542
99,99,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
100,100,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
101,101,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13049,-1,13050
102,102,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10049,-1,10050
103,103,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15502,-1,15503
104,104,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9542,-1,9543
105,105,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14484,-1,14485
106,106,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14530,-1,14531
107,107,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14487,-1,14488
108,108,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15541,-1,15542
109,109,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11527,-1,11528
110,110,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13555,-1,13556
111,111,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14277,-1,14278
112,112,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13515,-1,13516
113,113,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9500,-1,9501
114,114,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10049,-1,10050
115,115,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
116,116,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15034,-1,15035
117,117,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10557,-1,10558
118,118,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16511,-1,16512
119,119,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10049,-1,10050
120,120,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
121,121,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14484,-1,14485
122,122,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
123,123,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16050,-1,16051
124,124,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
125,125,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14062,-1,14063
126,126,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16093,-1,16094
127,127,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15501,-1,15502
128,128,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9501,-1,9502
129,129,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14530,-1,14531
130,130,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10516,-1,10517
131,131,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
132,132,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16511,-1,16512
133,133,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9503,-1,9504
134,134,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
135,135,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12500,-1,12501
136,136,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16512,-1,16513
137,137,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16516,-1,16517
138,138,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
139,139,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
140,140,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13050,-1,13051
141,141,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11528,-1,11529
142,142,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16515,-1,16516
143,143,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10052,-1,10053
144,144,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9078,-1,9079
145,145,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10050,-1,10051
146,146,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15499,-1,15500
147,147,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
148,148,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13006,-1,13007
149,149,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14995,-1,14996
150,150,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13094,-1,13095
151,151,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9542,-1,9543
152,152,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11274,-1,11275
153,153,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13597,-1,13598
154,154,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15543,-1,15544
155,155,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14488,-1,14489
156,156,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12503,-1,12504
157,157,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9546,-1,9547
158,158,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
159,159,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15498,-1,15499
160,160,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16047,-1,16048
161,161,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15033,-1,15034
162,162,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13049,-1,13050
163,163,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12500,-1,12501
164,164,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
165,165,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13006,-1,13007
166,166,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14569,-1,14570
167,167,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10515,-1,10516
168,168,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16051,-1,16052
169,169,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9504,-1,9505
170,170,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13516,-1,13517
171,171,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9542,-1,9543
172,172,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14530,-1,14531
173,173,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15034,-1,15035
174,174,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,12964,-1,12965
175,175,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
176,176,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
177,177,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16515,-1,16516
178,178,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14526,-1,14527
179,179,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13091,-1,13092
180,180,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14105,-1,14106
181,181,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11527,-1,11528
182,182,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13556,-1,13557
183,183,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13513,-1,13514
184,184,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13516,-1,13517
185,185,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14485,-1,14486
186,186,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15543,-1,15544
187,187,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15498,-1,15499
188,188,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,18121,-1,18122
189,189,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,9504,-1,9505
190,190,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13555,-1,13556
191,191,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16093,-1,16094
192,192,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,14484,-1,14485
193,193,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
194,194,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,13471,-1,13472
195,195,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,11528,-1,11529
196,196,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,16514,-1,16515
197,197,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,10514,-1,10515
198,198,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15540,-1,15541
199,199,pyqt6,default,pyqt6_default,getdbits,True,getdbits_True,15502,-1,15503
