,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26357,-1,26358
1,1,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25511,-1,25512
2,2,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25509,-1,25510
3,3,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26480,-1,26481
4,4,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26061,-1,26062
5,5,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,48485,-1,48486
6,6,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,27539,-1,27540
7,7,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26522,-1,26523
8,8,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26525,-1,26526
9,9,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25509,-1,25510
10,10,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,22513,-1,22514
11,11,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25512,-1,25513
12,12,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26525,-1,26526
13,13,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26061,-1,26062
14,14,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25508,-1,25509
15,15,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,23523,-1,23524
16,16,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25931,-1,25932
17,17,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,27539,-1,27540
18,18,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,21499,-1,21500
19,19,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,24540,-1,24541
20,20,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,27497,-1,27498
21,21,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26522,-1,26523
22,22,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,27029,-1,27030
23,23,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25550,-1,25551
24,24,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,27540,-1,27541
25,25,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26568,-1,26569
26,26,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,23523,-1,23524
27,27,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,24538,-1,24539
28,28,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,25466,-1,25467
29,29,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,32565,-1,32566
30,30,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,22556,-1,22557
31,31,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,26480,-1,26481
32,32,pyqt6,rects,pyqt6_rects,getdbits,True,getdbits_True,23529,-1,23530
