,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,default,tkinter_default,bitblt,True,bitblt_True,13692,-1,13693
1,1,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15502,-1,15503
2,2,tkinter,default,tkinter_default,bitblt,True,bitblt_True,23527,-1,23528
3,3,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16514,-1,16515
4,4,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16518,-1,16519
5,5,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16517,-1,16518
6,6,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15504,-1,15505
7,7,tkinter,default,tkinter_default,bitblt,True,bitblt_True,14529,-1,14530
8,8,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15502,-1,15503
9,9,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15500,-1,15501
10,10,tkinter,default,tkinter_default,bitblt,True,bitblt_True,13050,-1,13051
11,11,tkinter,default,tkinter_default,bitblt,True,bitblt_True,14613,-1,14614
12,12,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15504,-1,15505
13,13,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15503,-1,15504
14,14,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16518,-1,16519
15,15,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12500,-1,12501
16,16,tkinter,default,tkinter_default,bitblt,True,bitblt_True,17062,-1,17063
17,17,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15499,-1,15500
18,18,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15502,-1,15503
19,19,tkinter,default,tkinter_default,bitblt,True,bitblt_True,14527,-1,14528
20,20,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16513,-1,16514
21,21,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11529,-1,11530
22,22,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12503,-1,12504
23,23,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16516,-1,16517
24,24,tkinter,default,tkinter_default,bitblt,True,bitblt_True,14531,-1,14532
25,25,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11571,-1,11572
26,26,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12035,-1,12036
27,27,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15541,-1,15542
28,28,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16512,-1,16513
29,29,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16517,-1,16518
30,30,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16555,-1,16556
31,31,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16472,-1,16473
32,32,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16555,-1,16556
33,33,tkinter,default,tkinter_default,bitblt,True,bitblt_True,13048,-1,13049
34,34,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15033,-1,15034
35,35,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16514,-1,16515
36,36,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16513,-1,16514
37,37,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15504,-1,15505
38,38,tkinter,default,tkinter_default,bitblt,True,bitblt_True,22552,-1,22553
39,39,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15502,-1,15503
40,40,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16512,-1,16513
41,41,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16511,-1,16512
42,42,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16515,-1,16516
43,43,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15540,-1,15541
44,44,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11485,-1,11486
45,45,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16047,-1,16048
46,46,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16554,-1,16555
47,47,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11490,-1,11491
48,48,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15540,-1,15541
49,49,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15502,-1,15503
50,50,tkinter,default,tkinter_default,bitblt,True,bitblt_True,23481,-1,23482
51,51,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11527,-1,11528
52,52,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12541,-1,12542
53,53,tkinter,default,tkinter_default,bitblt,True,bitblt_True,14527,-1,14528
54,54,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12502,-1,12503
55,55,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15499,-1,15500
56,56,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16512,-1,16513
57,57,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16089,-1,16090
58,58,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16008,-1,16009
59,59,tkinter,default,tkinter_default,bitblt,True,bitblt_True,17484,-1,17485
60,60,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15544,-1,15545
61,61,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
62,62,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15502,-1,15503
63,63,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16554,-1,16555
64,64,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15087,-1,15088
65,65,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15501,-1,15502
66,66,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12541,-1,12542
67,67,tkinter,default,tkinter_default,bitblt,True,bitblt_True,13516,-1,13517
68,68,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16515,-1,16516
69,69,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12541,-1,12542
70,70,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
71,71,tkinter,default,tkinter_default,bitblt,True,bitblt_True,23524,-1,23525
72,72,tkinter,default,tkinter_default,bitblt,True,bitblt_True,13555,-1,13556
73,73,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12499,-1,12500
74,74,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15499,-1,15500
75,75,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12077,-1,12078
76,76,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
77,77,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16600,-1,16601
78,78,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12457,-1,12458
79,79,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16554,-1,16555
80,80,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15541,-1,15542
81,81,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11527,-1,11528
82,82,tkinter,default,tkinter_default,bitblt,True,bitblt_True,17063,-1,17064
83,83,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15499,-1,15500
84,84,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16048,-1,16049
85,85,tkinter,default,tkinter_default,bitblt,True,bitblt_True,14530,-1,14531
86,86,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16512,-1,16513
87,87,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
88,88,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15540,-1,15541
89,89,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16515,-1,16516
90,90,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
91,91,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16512,-1,16513
92,92,tkinter,default,tkinter_default,bitblt,True,bitblt_True,11528,-1,11529
93,93,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16511,-1,16512
94,94,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
95,95,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15540,-1,15541
96,96,tkinter,default,tkinter_default,bitblt,True,bitblt_True,23524,-1,23525
97,97,tkinter,default,tkinter_default,bitblt,True,bitblt_True,13517,-1,13518
98,98,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15498,-1,15499
99,99,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15542,-1,15543
100,100,tkinter,default,tkinter_default,bitblt,True,bitblt_True,12499,-1,12500
101,101,tkinter,default,tkinter_default,bitblt,True,bitblt_True,23526,-1,23527
102,102,tkinter,default,tkinter_default,bitblt,True,bitblt_True,17526,-1,17527
103,103,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16470,-1,16471
104,104,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16047,-1,16048
105,105,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15540,-1,15541
106,106,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16131,-1,16132
107,107,tkinter,default,tkinter_default,bitblt,True,bitblt_True,15540,-1,15541
108,108,tkinter,default,tkinter_default,bitblt,True,bitblt_True,16047,-1,16048
109,109,tkinter,default,tkinter_default,bitblt,True,bitblt_True,17018,-1,17019
