,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,rects,tkinter_rects,windup,False,windup_False,71233,-1,71234
1,1,tkinter,rects,tkinter_rects,windup,False,windup_False,71677,-1,71678
2,2,tkinter,rects,tkinter_rects,windup,False,windup_False,70705,-1,70706
3,3,tkinter,rects,tkinter_rects,windup,False,windup_False,71252,-1,71253
4,4,tkinter,rects,tkinter_rects,windup,False,windup_False,70669,-1,70670
5,5,tkinter,rects,tkinter_rects,windup,False,windup_False,71720,-1,71721
6,6,tkinter,rects,tkinter_rects,windup,False,windup_False,71716,-1,71717
7,7,tkinter,rects,tkinter_rects,windup,False,windup_False,70690,-1,70691
8,8,tkinter,rects,tkinter_rects,windup,False,windup_False,69704,-1,69705
9,9,tkinter,rects,tkinter_rects,windup,False,windup_False,69659,-1,69660
10,10,tkinter,rects,tkinter_rects,windup,False,windup_False,69740,-1,69741
11,11,tkinter,rects,tkinter_rects,windup,False,windup_False,70667,-1,70668
12,12,tkinter,rects,tkinter_rects,windup,False,windup_False,65764,-1,65765
13,13,tkinter,rects,tkinter_rects,windup,False,windup_False,70678,-1,70679
14,14,tkinter,rects,tkinter_rects,windup,False,windup_False,69699,-1,69700
15,15,tkinter,rects,tkinter_rects,windup,False,windup_False,71705,-1,71706
16,16,tkinter,rects,tkinter_rects,windup,False,windup_False,67705,-1,67706
17,17,tkinter,rects,tkinter_rects,windup,False,windup_False,70748,-1,70749
18,18,tkinter,rects,tkinter_rects,windup,False,windup_False,70664,-1,70665
19,19,tkinter,rects,tkinter_rects,windup,False,windup_False,70715,-1,70716
20,20,tkinter,rects,tkinter_rects,windup,False,windup_False,70706,-1,70707
21,21,tkinter,rects,tkinter_rects,windup,False,windup_False,68717,-1,68718
22,22,tkinter,rects,tkinter_rects,windup,False,windup_False,70674,-1,70675
23,23,tkinter,rects,tkinter_rects,windup,False,windup_False,66711,-1,66712
24,24,tkinter,rects,tkinter_rects,windup,False,windup_False,66702,-1,66703
25,25,tkinter,rects,tkinter_rects,windup,False,windup_False,69707,-1,69708
26,26,tkinter,rects,tkinter_rects,windup,False,windup_False,71693,-1,71694
27,27,tkinter,rects,tkinter_rects,windup,False,windup_False,70715,-1,70716
28,28,tkinter,rects,tkinter_rects,windup,False,windup_False,68686,-1,68687
29,29,tkinter,rects,tkinter_rects,windup,False,windup_False,71759,-1,71760
30,30,tkinter,rects,tkinter_rects,windup,False,windup_False,67662,-1,67663
31,31,tkinter,rects,tkinter_rects,windup,False,windup_False,71697,-1,71698
32,32,tkinter,rects,tkinter_rects,windup,False,windup_False,70714,-1,70715
33,33,tkinter,rects,tkinter_rects,windup,False,windup_False,71724,-1,71725
34,34,tkinter,rects,tkinter_rects,windup,False,windup_False,70671,-1,70672
35,35,tkinter,rects,tkinter_rects,windup,False,windup_False,70714,-1,70715
36,36,tkinter,rects,tkinter_rects,windup,False,windup_False,71727,-1,71728
37,37,tkinter,rects,tkinter_rects,windup,False,windup_False,70719,-1,70720
38,38,tkinter,rects,tkinter_rects,windup,False,windup_False,74637,-1,74638
39,39,tkinter,rects,tkinter_rects,windup,False,windup_False,71762,-1,71763
40,40,tkinter,rects,tkinter_rects,windup,False,windup_False,69202,-1,69203
41,41,tkinter,rects,tkinter_rects,windup,False,windup_False,70748,-1,70749
42,42,tkinter,rects,tkinter_rects,windup,False,windup_False,71694,-1,71695
43,43,tkinter,rects,tkinter_rects,windup,False,windup_False,71695,-1,71696
44,44,tkinter,rects,tkinter_rects,windup,False,windup_False,71694,-1,71695
45,45,tkinter,rects,tkinter_rects,windup,False,windup_False,71718,-1,71719
46,46,tkinter,rects,tkinter_rects,windup,False,windup_False,70703,-1,70704
47,47,tkinter,rects,tkinter_rects,windup,False,windup_False,69710,-1,69711
48,48,tkinter,rects,tkinter_rects,windup,False,windup_False,69698,-1,69699
49,49,tkinter,rects,tkinter_rects,windup,False,windup_False,69690,-1,69691
50,50,tkinter,rects,tkinter_rects,windup,False,windup_False,65719,-1,65720
51,51,tkinter,rects,tkinter_rects,windup,False,windup_False,71682,-1,71683
52,52,tkinter,rects,tkinter_rects,windup,False,windup_False,66735,-1,66736
53,53,tkinter,rects,tkinter_rects,windup,False,windup_False,71682,-1,71683
54,54,tkinter,rects,tkinter_rects,windup,False,windup_False,70718,-1,70719
55,55,tkinter,rects,tkinter_rects,windup,False,windup_False,71679,-1,71680
56,56,tkinter,rects,tkinter_rects,windup,False,windup_False,66709,-1,66710
57,57,tkinter,rects,tkinter_rects,windup,False,windup_False,68721,-1,68722
58,58,tkinter,rects,tkinter_rects,windup,False,windup_False,71691,-1,71692
59,59,tkinter,rects,tkinter_rects,windup,False,windup_False,70722,-1,70723
60,60,tkinter,rects,tkinter_rects,windup,False,windup_False,72691,-1,72692
61,61,tkinter,rects,tkinter_rects,windup,False,windup_False,70681,-1,70682
62,62,tkinter,rects,tkinter_rects,windup,False,windup_False,71682,-1,71683
63,63,tkinter,rects,tkinter_rects,windup,False,windup_False,70763,-1,70764
64,64,tkinter,rects,tkinter_rects,windup,False,windup_False,68687,-1,68688
65,65,tkinter,rects,tkinter_rects,windup,False,windup_False,100698,-1,100699
66,66,tkinter,rects,tkinter_rects,windup,False,windup_False,71678,-1,71679
67,67,tkinter,rects,tkinter_rects,windup,False,windup_False,70748,-1,70749
68,68,tkinter,rects,tkinter_rects,windup,False,windup_False,73718,-1,73719
69,69,tkinter,rects,tkinter_rects,windup,False,windup_False,70679,-1,70680
70,70,tkinter,rects,tkinter_rects,windup,False,windup_False,70715,-1,70716
71,71,tkinter,rects,tkinter_rects,windup,False,windup_False,70680,-1,70681
72,72,tkinter,rects,tkinter_rects,windup,False,windup_False,69695,-1,69696
73,73,tkinter,rects,tkinter_rects,windup,False,windup_False,66706,-1,66707
74,74,tkinter,rects,tkinter_rects,windup,False,windup_False,70718,-1,70719
75,75,tkinter,rects,tkinter_rects,windup,False,windup_False,70745,-1,70746
76,76,tkinter,rects,tkinter_rects,windup,False,windup_False,78692,-1,78693
77,77,tkinter,rects,tkinter_rects,windup,False,windup_False,68675,-1,68676
78,78,tkinter,rects,tkinter_rects,windup,False,windup_False,71688,-1,71689
79,79,tkinter,rects,tkinter_rects,windup,False,windup_False,69710,-1,69711
80,80,tkinter,rects,tkinter_rects,windup,False,windup_False,67710,-1,67711
81,81,tkinter,rects,tkinter_rects,windup,False,windup_False,70790,-1,70791
82,82,tkinter,rects,tkinter_rects,windup,False,windup_False,70708,-1,70709
83,83,tkinter,rects,tkinter_rects,windup,False,windup_False,76703,-1,76704
84,84,tkinter,rects,tkinter_rects,windup,False,windup_False,71721,-1,71722
85,85,tkinter,rects,tkinter_rects,windup,False,windup_False,71690,-1,71691
86,86,tkinter,rects,tkinter_rects,windup,False,windup_False,69659,-1,69660
87,87,tkinter,rects,tkinter_rects,windup,False,windup_False,86737,-1,86738
88,88,tkinter,rects,tkinter_rects,windup,False,windup_False,71696,-1,71697
89,89,tkinter,rects,tkinter_rects,windup,False,windup_False,66705,-1,66706
90,90,tkinter,rects,tkinter_rects,windup,False,windup_False,70720,-1,70721
91,91,tkinter,rects,tkinter_rects,windup,False,windup_False,70703,-1,70704
92,92,tkinter,rects,tkinter_rects,windup,False,windup_False,70704,-1,70705
93,93,tkinter,rects,tkinter_rects,windup,False,windup_False,93725,-1,93726
94,94,tkinter,rects,tkinter_rects,windup,False,windup_False,68694,-1,68695
95,95,tkinter,rects,tkinter_rects,windup,False,windup_False,70669,-1,70670
96,96,tkinter,rects,tkinter_rects,windup,False,windup_False,69709,-1,69710
97,97,tkinter,rects,tkinter_rects,windup,False,windup_False,71720,-1,71721
98,98,tkinter,rects,tkinter_rects,windup,False,windup_False,70683,-1,70684
99,99,tkinter,rects,tkinter_rects,windup,False,windup_False,69731,-1,69732
100,100,tkinter,rects,tkinter_rects,windup,False,windup_False,70219,-1,70220
101,101,tkinter,rects,tkinter_rects,windup,False,windup_False,68734,-1,68735
102,102,tkinter,rects,tkinter_rects,windup,False,windup_False,70703,-1,70704
103,103,tkinter,rects,tkinter_rects,windup,False,windup_False,65726,-1,65727
104,104,tkinter,rects,tkinter_rects,windup,False,windup_False,82656,-1,82657
105,105,tkinter,rects,tkinter_rects,windup,False,windup_False,70747,-1,70748
106,106,tkinter,rects,tkinter_rects,windup,False,windup_False,69650,-1,69651
107,107,tkinter,rects,tkinter_rects,windup,False,windup_False,71720,-1,71721
108,108,tkinter,rects,tkinter_rects,windup,False,windup_False,67675,-1,67676
109,109,tkinter,rects,tkinter_rects,windup,False,windup_False,71721,-1,71722
110,110,tkinter,rects,tkinter_rects,windup,False,windup_False,71736,-1,71737
111,111,tkinter,rects,tkinter_rects,windup,False,windup_False,70671,-1,70672
112,112,tkinter,rects,tkinter_rects,windup,False,windup_False,70729,-1,70730
113,113,tkinter,rects,tkinter_rects,windup,False,windup_False,70711,-1,70712
114,114,tkinter,rects,tkinter_rects,windup,False,windup_False,71678,-1,71679
