,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7352,-1,7353
1,1,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7686,-1,7687
2,2,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8698,-1,8699
3,3,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6248,-1,6249
4,4,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8700,-1,8701
5,5,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6713,-1,6714
6,6,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7263,-1,7264
7,7,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7728,-1,7729
8,8,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5699,-1,5700
9,9,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8701,-1,8702
10,10,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
11,11,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5700,-1,5701
12,12,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8698,-1,8699
13,13,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8699,-1,8700
14,14,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6716,-1,6717
15,15,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8699,-1,8700
16,16,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5699,-1,5700
17,17,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
18,18,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7685,-1,7686
19,19,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5742,-1,5743
20,20,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7221,-1,7222
21,21,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6713,-1,6714
22,22,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
23,23,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5658,-1,5659
24,24,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
25,25,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5743,-1,5744
26,26,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8698,-1,8699
27,27,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8702,-1,8703
28,28,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5704,-1,5705
29,29,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5699,-1,5700
30,30,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
31,31,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8698,-1,8699
32,32,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5700,-1,5701
33,33,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7728,-1,7729
34,34,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5700,-1,5701
35,35,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8698,-1,8699
36,36,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5745,-1,5746
37,37,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8660,-1,8661
38,38,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
39,39,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5700,-1,5701
40,40,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5700,-1,5701
41,41,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8741,-1,8742
42,42,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6717,-1,6718
43,43,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7684,-1,7685
44,44,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7684,-1,7685
45,45,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5742,-1,5743
46,46,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7684,-1,7685
47,47,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8743,-1,8744
48,48,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6671,-1,6672
49,49,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7728,-1,7729
50,50,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
51,51,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5699,-1,5700
52,52,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8698,-1,8699
53,53,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7684,-1,7685
54,54,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6718,-1,6719
55,55,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8699,-1,8700
56,56,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,6714,-1,6715
57,57,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8742,-1,8743
58,58,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5700,-1,5701
59,59,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7727,-1,7728
60,60,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8445,-1,8446
61,61,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5699,-1,5700
62,62,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8699,-1,8700
63,63,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5742,-1,5743
64,64,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7684,-1,7685
65,65,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5699,-1,5700
66,66,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,8700,-1,8701
67,67,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,5741,-1,5742
68,68,GLEW_SDL,rects,GLEW_SDL_rects,getdbits,False,getdbits_False,7728,-1,7729
