,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30454,2740,27714
1,1,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31690,1342,30348
2,2,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32696,2203,30493
3,3,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32659,1317,31342
4,4,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31729,1271,30458
5,5,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30704,2601,28103
6,6,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31687,1291,30396
7,7,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32694,1588,31106
8,8,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30251,1512,28739
9,9,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32737,1340,31397
10,10,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29700,1435,28265
11,11,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31726,2184,29542
12,12,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31675,1330,30345
13,13,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31723,1391,30332
14,14,GTK,rects,GTK_rects,getpixel,True,getpixel_True,33672,1321,32351
15,15,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30703,1617,29086
16,16,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31720,1359,30361
17,17,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31688,2258,29430
18,18,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29734,1400,28334
19,19,GTK,rects,GTK_rects,getpixel,True,getpixel_True,35690,2322,33368
20,20,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30788,1436,29352
21,21,GTK,rects,GTK_rects,getpixel,True,getpixel_True,33663,1455,32208
22,22,GTK,rects,GTK_rects,getpixel,True,getpixel_True,28727,2556,26171
23,23,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31720,1419,30301
24,24,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31678,1331,30347
25,25,GTK,rects,GTK_rects,getpixel,True,getpixel_True,35696,1328,34368
26,26,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29693,1574,28119
27,27,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32738,1192,31546
28,28,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31684,1293,30391
29,29,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32697,1305,31392
30,30,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30714,2534,28180
31,31,GTK,rects,GTK_rects,getpixel,True,getpixel_True,35690,1473,34217
32,32,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32701,1198,31503
33,33,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30708,3090,27618
34,34,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29696,2148,27548
35,35,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30711,2709,28002
36,36,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32734,1361,31373
37,37,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31717,1101,30616
38,38,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29700,1484,28216
39,39,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31682,1565,30117
40,40,GTK,rects,GTK_rects,getpixel,True,getpixel_True,35730,1503,34227
41,41,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32698,1484,31214
42,42,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29698,2281,27417
43,43,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29702,1640,28062
44,44,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31718,1281,30437
45,45,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30670,1309,29361
46,46,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32740,1264,31476
47,47,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29690,1390,28300
48,48,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32734,2013,30721
49,49,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31679,1342,30337
50,50,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29692,1388,28304
51,51,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32698,1213,31485
52,52,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31433,2158,29275
53,53,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29736,1433,28303
54,54,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29697,1388,28309
55,55,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31718,1392,30326
56,56,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32692,1655,31037
57,57,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32731,1323,31408
58,58,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29694,1416,28278
59,59,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30710,1463,29247
60,60,GTK,rects,GTK_rects,getpixel,True,getpixel_True,32690,1541,31149
61,61,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29701,1315,28386
62,62,GTK,rects,GTK_rects,getpixel,True,getpixel_True,30704,2116,28588
63,63,GTK,rects,GTK_rects,getpixel,True,getpixel_True,28718,1581,27137
64,64,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29653,1405,28248
65,65,GTK,rects,GTK_rects,getpixel,True,getpixel_True,28262,2129,26133
66,66,GTK,rects,GTK_rects,getpixel,True,getpixel_True,31717,1337,30380
67,67,GTK,rects,GTK_rects,getpixel,True,getpixel_True,29693,1339,28354
