,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9550,-1,9551
1,1,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9675,-1,9676
2,2,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8702,-1,8703
3,3,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9757,-1,9758
4,4,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8699,-1,8700
5,5,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8657,-1,8658
6,6,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8742,-1,8743
7,7,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8699,-1,8700
8,8,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9248,-1,9249
9,9,Java2D,default,Java2D_default,getpixel,False,getpixel_False,7730,-1,7731
10,10,Java2D,default,Java2D_default,getpixel,False,getpixel_False,6671,-1,6672
11,11,Java2D,default,Java2D_default,getpixel,False,getpixel_False,5700,-1,5701
12,12,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8751,-1,8752
13,13,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8661,-1,8662
14,14,Java2D,default,Java2D_default,getpixel,False,getpixel_False,10728,-1,10729
15,15,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8701,-1,8702
16,16,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8745,-1,8746
17,17,Java2D,default,Java2D_default,getpixel,False,getpixel_False,6671,-1,6672
18,18,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8234,-1,8235
19,19,Java2D,default,Java2D_default,getpixel,False,getpixel_False,5702,-1,5703
20,20,Java2D,default,Java2D_default,getpixel,False,getpixel_False,7768,-1,7769
21,21,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9672,-1,9673
22,22,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8701,-1,8702
23,23,Java2D,default,Java2D_default,getpixel,False,getpixel_False,5744,-1,5745
24,24,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9674,-1,9675
25,25,Java2D,default,Java2D_default,getpixel,False,getpixel_False,5700,-1,5701
26,26,Java2D,default,Java2D_default,getpixel,False,getpixel_False,6755,-1,6756
27,27,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8698,-1,8699
28,28,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8698,-1,8699
29,29,Java2D,default,Java2D_default,getpixel,False,getpixel_False,7685,-1,7686
30,30,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8699,-1,8700
31,31,Java2D,default,Java2D_default,getpixel,False,getpixel_False,7728,-1,7729
32,32,Java2D,default,Java2D_default,getpixel,False,getpixel_False,7726,-1,7727
33,33,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8698,-1,8699
34,34,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9713,-1,9714
35,35,Java2D,default,Java2D_default,getpixel,False,getpixel_False,8700,-1,8701
36,36,Java2D,default,Java2D_default,getpixel,False,getpixel_False,9714,-1,9715
