,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6632,-1,6633
1,1,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5702,-1,5703
2,2,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6713,-1,6714
3,3,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6714,-1,6715
4,4,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
5,5,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5699,-1,5700
6,6,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
7,7,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6713,-1,6714
8,8,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6714,-1,6715
9,9,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6713,-1,6714
10,10,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
11,11,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6671,-1,6672
12,12,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6755,-1,6756
13,13,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
14,14,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5741,-1,5742
15,15,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6674,-1,6675
16,16,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6714,-1,6715
17,17,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5699,-1,5700
18,18,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6716,-1,6717
19,19,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
20,20,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6713,-1,6714
21,21,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6248,-1,6249
22,22,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6713,-1,6714
23,23,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6714,-1,6715
24,24,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5701,-1,5702
25,25,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5238,-1,5239
26,26,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5744,-1,5745
27,27,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6672,-1,6673
28,28,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5699,-1,5700
29,29,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6714,-1,6715
30,30,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6755,-1,6756
31,31,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6672,-1,6673
32,32,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6716,-1,6717
33,33,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5699,-1,5700
34,34,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6716,-1,6717
35,35,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
36,36,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5702,-1,5703
37,37,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,5700,-1,5701
38,38,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6759,-1,6760
39,39,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6676,-1,6677
40,40,SDL2_Direct3D,rects,SDL2_Direct3D_rects,getpixel,False,getpixel_False,6716,-1,6717
