,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,6506,3795,2711
1,1,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4685,2436,2249
2,2,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5703,3095,2608
3,3,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4727,1970,2757
4,4,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3015,2685
5,5,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5238,2222,3016
6,6,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5235,2223,3012
7,7,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5741,3074,2667
8,8,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5698,3074,2624
9,9,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3146,2554
10,10,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3128,2572
11,11,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4728,2215,2513
12,12,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2241,2445
13,13,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4732,2355,2377
14,14,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3140,2560
15,15,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2338,2348
16,16,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4263,2179,2084
17,17,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4728,2415,2313
18,18,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4689,2557,2132
19,19,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5742,3110,2632
20,20,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5657,2998,2659
21,21,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5277,2307,2970
22,22,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2293,2393
23,23,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3133,2566
24,24,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4729,2337,2392
25,25,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3104,2595
26,26,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3107,2593
27,27,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4728,2144,2584
28,28,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3139,2560
29,29,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4727,2291,2436
30,30,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5658,3031,2627
31,31,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5742,3142,2600
32,32,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2295,2391
33,33,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4690,2158,2532
34,34,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4727,2208,2519
35,35,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5741,3199,2542
36,36,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3031,2668
37,37,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2249,2437
38,38,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2333,2353
39,39,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5745,3213,2532
40,40,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4690,2302,2388
41,41,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4264,3757,507
42,42,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4685,2481,2204
43,43,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4728,2229,2499
44,44,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3105,2595
45,45,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4685,2269,2416
46,46,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4731,2422,2309
47,47,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4685,2093,2592
48,48,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5742,3168,2574
49,49,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4728,2346,2382
50,50,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2199,2487
51,51,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4728,2114,2614
52,52,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5700,3054,2646
53,53,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2245,2441
54,54,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4221,2173,2048
55,55,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5745,3057,2688
56,56,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3053,2646
57,57,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4731,2373,2358
58,58,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3063,2636
59,59,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4732,2139,2593
60,60,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5660,3027,2633
61,61,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5703,3120,2583
62,62,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5742,3050,2692
63,63,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3080,2619
64,64,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3079,2620
65,65,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5741,3076,2665
66,66,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,5699,3103,2596
67,67,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,getdbits,True,getdbits_True,4686,2243,2443
