,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6722,2107,4615
1,1,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6249,2036,4213
2,2,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6671,2032,4639
3,3,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5742,2231,3511
4,4,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,1342,4358
5,5,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2038,4676
6,6,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6671,2108,4563
7,7,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5743,2108,3635
8,8,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,2101,3599
9,9,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5660,2086,3574
10,10,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5742,1516,4226
11,11,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6716,2043,4673
12,12,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6716,2031,4685
13,13,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5703,2059,3644
14,14,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2407,2279
15,15,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4728,2359,2369
16,16,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2051,4663
17,17,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,1481,4218
18,18,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,1492,4207
19,19,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6716,2148,4568
20,20,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2544,2142
21,21,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5745,1394,4351
22,22,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,2066,3634
23,23,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2052,4661
24,24,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4727,2384,2343
25,25,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5658,1514,4144
26,26,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5742,2088,3654
27,27,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,1411,4288
28,28,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5703,2021,3682
29,29,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,1363,4337
30,30,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,1547,4152
31,31,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,2089,3611
32,32,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4728,2407,2321
33,33,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2072,4641
34,34,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,2084,3615
35,35,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2049,4665
36,36,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4727,2239,2488
37,37,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5658,2008,3650
38,38,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,7727,2154,5573
39,39,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2467,2219
40,40,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5744,2116,3628
41,41,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6717,2040,4677
42,42,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4728,2213,2515
43,43,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6673,2091,4582
44,44,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5657,1348,4309
45,45,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4771,2395,2376
46,46,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2028,4686
47,47,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6670,2050,4620
48,48,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5742,2089,3653
49,49,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2285,2401
50,50,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6671,2046,4625
51,51,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6755,2105,4650
52,52,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5657,1346,4311
53,53,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5743,2057,3686
54,54,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2302,2384
55,55,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,2078,3622
56,56,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5742,1547,4195
57,57,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2083,4630
58,58,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4690,2230,2460
59,59,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5742,2127,3615
60,60,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2007,4707
61,61,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,1472,4228
62,62,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,2085,3614
63,63,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4728,2304,2424
64,64,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,1584,4116
65,65,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5657,2040,3617
66,66,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5741,1379,4362
67,67,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,2087,3613
68,68,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,2160,3539
69,69,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5741,1431,4310
70,70,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2286,4427
71,71,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5703,1396,4307
72,72,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2093,4620
73,73,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,2005,3695
74,74,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,2158,3541
75,75,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2078,4636
76,76,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,1391,4308
77,77,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6714,2092,4622
78,78,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4728,2284,2444
79,79,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6671,2040,4631
80,80,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6756,2098,4658
81,81,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5699,1432,4267
82,82,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2078,4635
83,83,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2326,2360
84,84,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6713,2156,4557
85,85,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,4686,2408,2278
86,86,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5741,2075,3666
87,87,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5743,2237,3506
88,88,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5658,1352,4306
89,89,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5741,1700,4041
90,90,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,6671,2088,4583
91,91,SDL2_OpenGL,rects,SDL2_OpenGL_rects,getdbits,True,getdbits_True,5700,1469,4231
