,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Unity,rects,Unity_rects,getdbits,True,getdbits_True,90140,87494,2646
1,1,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88682,85505,3177
2,2,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86731,83396,3335
3,3,Unity,rects,Unity_rects,getdbits,True,getdbits_True,89270,86813,2457
4,4,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87710,85392,2318
5,5,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86685,84331,2354
6,6,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87684,84749,2935
7,7,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87736,84765,2971
8,8,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86673,83917,2756
9,9,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87730,84717,3013
10,10,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86715,86156,559
11,11,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85703,82749,2954
12,12,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87729,84789,2940
13,13,Unity,rects,Unity_rects,getdbits,True,getdbits_True,89691,86508,3183
14,14,Unity,rects,Unity_rects,getdbits,True,getdbits_True,89722,87224,2498
15,15,Unity,rects,Unity_rects,getdbits,True,getdbits_True,97667,94813,2854
16,16,Unity,rects,Unity_rects,getdbits,True,getdbits_True,93736,90691,3045
17,17,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87730,85258,2472
18,18,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85869,85110,759
19,19,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86504,84212,2292
20,20,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86754,84223,2531
21,21,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86695,83486,3209
22,22,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86712,84319,2393
23,23,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88679,85681,2998
24,24,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88743,89039,-296
25,25,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88700,85668,3032
26,26,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86680,84447,2233
27,27,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86754,84335,2419
28,28,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85656,83014,2642
29,29,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87703,84852,2851
30,30,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86735,84478,2257
31,31,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85701,83574,2127
32,32,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87707,85467,2240
33,33,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86677,84403,2274
34,34,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85722,83453,2269
35,35,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85701,82510,3191
36,36,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88709,85621,3088
37,37,Unity,rects,Unity_rects,getdbits,True,getdbits_True,90724,88059,2665
38,38,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85698,83584,2114
39,39,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87725,84769,2956
40,40,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86697,84201,2496
41,41,Unity,rects,Unity_rects,getdbits,True,getdbits_True,89720,86989,2731
42,42,Unity,rects,Unity_rects,getdbits,True,getdbits_True,89697,87285,2412
43,43,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86710,84858,1852
44,44,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87735,85052,2683
45,45,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87709,84797,2912
46,46,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86675,85023,1652
47,47,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86714,84485,2229
48,48,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85725,85307,418
49,49,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87648,85979,1669
50,50,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87745,87183,562
51,51,Unity,rects,Unity_rects,getdbits,True,getdbits_True,90687,88330,2357
52,52,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87749,84753,2996
53,53,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86682,84061,2621
54,54,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87709,85570,2139
55,55,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87692,84548,3144
56,56,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87693,85112,2581
57,57,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87768,84846,2922
58,58,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86710,83901,2809
59,59,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88681,86011,2670
60,60,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86726,84216,2510
61,61,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85701,83354,2347
62,62,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86673,83919,2754
63,63,Unity,rects,Unity_rects,getdbits,True,getdbits_True,86774,84129,2645
64,64,Unity,rects,Unity_rects,getdbits,True,getdbits_True,85658,83474,2184
65,65,Unity,rects,Unity_rects,getdbits,True,getdbits_True,88723,85246,3477
66,66,Unity,rects,Unity_rects,getdbits,True,getdbits_True,87696,87191,505
