,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6337,2243,4094
1,1,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7646,1791,5855
2,2,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6716,2670,4046
3,3,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6672,2829,3843
4,4,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7726,3735,3991
5,5,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6714,2827,3887
6,6,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6717,2730,3987
7,7,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6716,2729,3987
8,8,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6712,2417,4295
9,9,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7684,3681,4003
10,10,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7727,3789,3938
11,11,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6713,2658,4055
12,12,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7684,3668,4016
13,13,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7730,3871,3859
14,14,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6716,2616,4100
15,15,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7685,1791,5894
16,16,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6291,2040,4251
17,17,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6714,2832,3882
18,18,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6672,2727,3945
19,19,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,8698,4545,4153
20,20,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6755,2817,3938
21,21,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7685,3724,3961
22,22,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,7684,3581,4103
23,23,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6755,2753,4002
24,24,psychopy_pyglet,default,psychopy_pyglet_default,getdbits,True,getdbits_True,6716,2699,4017
