,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312143,305909,6234
1,1,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,317660,313500,4160
2,2,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310683,306669,4014
3,3,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,348709,342055,6654
4,4,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,311726,305149,6577
5,5,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313681,307057,6624
6,6,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,309705,305550,4155
7,7,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315237,308767,6470
8,8,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310704,306554,4150
9,9,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315697,309041,6656
10,10,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,316733,310190,6543
11,11,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,316685,310106,6579
12,12,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313732,309463,4269
13,13,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312703,306437,6266
14,14,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313679,308051,5628
15,15,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315688,311498,4190
16,16,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310729,304066,6663
17,17,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312233,305562,6671
18,18,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314693,310546,4147
19,19,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,316726,310431,6295
20,20,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312685,306462,6223
21,21,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312721,308544,4177
22,22,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312700,308488,4212
23,23,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313680,308099,5581
24,24,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310711,304066,6645
25,25,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314734,308704,6030
26,26,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,316672,309876,6796
27,27,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312675,306921,5754
28,28,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310695,306556,4139
29,29,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315739,311555,4184
30,30,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310711,304254,6457
31,31,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312684,308536,4148
32,32,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,306689,302588,4101
33,33,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313712,307515,6197
34,34,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,306732,302669,4063
35,35,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,311696,307577,4119
36,36,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310722,306435,4287
37,37,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312665,308522,4143
38,38,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,308695,302536,6159
39,39,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315723,311519,4204
40,40,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314700,310499,4201
41,41,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313667,307779,5888
42,42,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,308722,304520,4202
43,43,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313690,307447,6243
44,44,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314722,308903,5819
45,45,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312700,306119,6581
46,46,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,308704,302457,6247
47,47,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313709,309645,4064
48,48,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314249,310031,4218
49,49,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312707,308584,4123
50,50,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,325695,319156,6539
51,51,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310697,306571,4126
52,52,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314728,308992,5736
53,53,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310680,304177,6503
54,54,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,316719,310711,6008
55,55,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,309692,303363,6329
56,56,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312677,308599,4078
57,57,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312700,308174,4526
58,58,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313721,309650,4071
59,59,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313752,307560,6192
60,60,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312730,306066,6664
61,61,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,310711,306607,4104
62,62,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313687,308009,5678
63,63,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,311728,307636,4092
64,64,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,307672,303547,4125
65,65,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,319702,313241,6461
66,66,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312743,308636,4107
67,67,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312688,308422,4266
68,68,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,311695,305122,6573
69,69,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,312689,308619,4070
70,70,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,341713,337677,4036
71,71,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,309728,305640,4088
72,72,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,308687,302688,5999
73,73,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,313685,309544,4141
74,74,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315701,311579,4122
75,75,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,317733,312994,4739
76,76,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,315658,309220,6438
77,77,psychopy_pyglet,rects,psychopy_pyglet_rects,getpixel,True,getpixel_True,314700,310594,4106
