,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15890,-1,15891
1,1,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14699,-1,14700
2,2,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15668,-1,15669
3,3,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
4,4,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15667,-1,15668
5,5,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16730,-1,16731
6,6,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15710,-1,15711
7,7,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
8,8,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15712,-1,15713
9,9,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14657,-1,14658
10,10,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15753,-1,15754
11,11,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15709,-1,15710
12,12,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15667,-1,15668
13,13,tkinter,default,tkinter_default,bitblt,False,bitblt_False,10685,-1,10686
14,14,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16772,-1,16773
15,15,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12675,-1,12676
16,16,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16723,-1,16724
17,17,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15671,-1,15672
18,18,tkinter,default,tkinter_default,bitblt,False,bitblt_False,11742,-1,11743
19,19,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
20,20,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
21,21,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15711,-1,15712
22,22,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
23,23,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15667,-1,15668
24,24,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15752,-1,15753
25,25,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16685,-1,16686
26,26,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
27,27,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13682,-1,13683
28,28,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
29,29,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16682,-1,16683
30,30,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
31,31,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
32,32,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16683,-1,16684
33,33,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16723,-1,16724
34,34,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15712,-1,15713
35,35,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16681,-1,16682
36,36,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15710,-1,15711
37,37,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
38,38,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16683,-1,16684
39,39,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15709,-1,15710
40,40,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15710,-1,15711
41,41,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15669,-1,15670
42,42,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
43,43,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
44,44,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16728,-1,16729
45,45,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16723,-1,16724
46,46,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13682,-1,13683
47,47,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14699,-1,14700
48,48,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
49,49,tkinter,default,tkinter_default,bitblt,False,bitblt_False,25723,-1,25724
50,50,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15714,-1,15715
51,51,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16724,-1,16725
52,52,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15670,-1,15671
53,53,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16685,-1,16686
54,54,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13766,-1,13767
55,55,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15671,-1,15672
56,56,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13682,-1,13683
57,57,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16731,-1,16732
58,58,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15709,-1,15710
59,59,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16728,-1,16729
60,60,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16685,-1,16686
61,61,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
62,62,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16689,-1,16690
63,63,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13689,-1,13690
64,64,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16766,-1,16767
65,65,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15671,-1,15672
66,66,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
67,67,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
68,68,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
69,69,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16681,-1,16682
70,70,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12756,-1,12757
71,71,tkinter,default,tkinter_default,bitblt,False,bitblt_False,11656,-1,11657
72,72,tkinter,default,tkinter_default,bitblt,False,bitblt_False,10725,-1,10726
73,73,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15670,-1,15671
74,74,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16766,-1,16767
75,75,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
76,76,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
77,77,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15671,-1,15672
78,78,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
79,79,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15669,-1,15670
80,80,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12756,-1,12757
81,81,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16723,-1,16724
82,82,tkinter,default,tkinter_default,bitblt,False,bitblt_False,11656,-1,11657
83,83,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16723,-1,16724
84,84,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15709,-1,15710
85,85,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16685,-1,16686
86,86,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15756,-1,15757
87,87,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12672,-1,12673
88,88,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15710,-1,15711
89,89,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16683,-1,16684
90,90,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16723,-1,16724
91,91,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14738,-1,14739
92,92,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14657,-1,14658
93,93,tkinter,default,tkinter_default,bitblt,False,bitblt_False,17273,-1,17274
94,94,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15712,-1,15713
95,95,tkinter,default,tkinter_default,bitblt,False,bitblt_False,19680,-1,19681
96,96,tkinter,default,tkinter_default,bitblt,False,bitblt_False,10726,-1,10727
97,97,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13685,-1,13686
98,98,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12714,-1,12715
99,99,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
100,100,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12713,-1,12714
101,101,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15668,-1,15669
102,102,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16724,-1,16725
103,103,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16688,-1,16689
104,104,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16725,-1,16726
105,105,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15709,-1,15710
106,106,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16687,-1,16688
107,107,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15715,-1,15716
108,108,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12711,-1,12712
109,109,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16685,-1,16686
110,110,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15716,-1,15717
111,111,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16730,-1,16731
112,112,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15671,-1,15672
113,113,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12756,-1,12757
114,114,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15673,-1,15674
115,115,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
116,116,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16688,-1,16689
117,117,tkinter,default,tkinter_default,bitblt,False,bitblt_False,13725,-1,13726
118,118,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15668,-1,15669
119,119,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15752,-1,15753
120,120,tkinter,default,tkinter_default,bitblt,False,bitblt_False,10725,-1,10726
121,121,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12672,-1,12673
122,122,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16681,-1,16682
123,123,tkinter,default,tkinter_default,bitblt,False,bitblt_False,24751,-1,24752
124,124,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12672,-1,12673
125,125,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15714,-1,15715
126,126,tkinter,default,tkinter_default,bitblt,False,bitblt_False,17703,-1,17704
127,127,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16724,-1,16725
128,128,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15673,-1,15674
129,129,tkinter,default,tkinter_default,bitblt,False,bitblt_False,25765,-1,25766
130,130,tkinter,default,tkinter_default,bitblt,False,bitblt_False,11657,-1,11658
131,131,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15712,-1,15713
132,132,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16685,-1,16686
133,133,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15714,-1,15715
134,134,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16724,-1,16725
135,135,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15709,-1,15710
136,136,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
137,137,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15667,-1,15668
138,138,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15712,-1,15713
139,139,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22683,-1,22684
140,140,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15717,-1,15718
141,141,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15710,-1,15711
142,142,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16726,-1,16727
143,143,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
144,144,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16730,-1,16731
145,145,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15669,-1,15670
146,146,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15751,-1,15752
147,147,tkinter,default,tkinter_default,bitblt,False,bitblt_False,17233,-1,17234
148,148,tkinter,default,tkinter_default,bitblt,False,bitblt_False,12671,-1,12672
149,149,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16724,-1,16725
150,150,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15671,-1,15672
151,151,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15713,-1,15714
152,152,tkinter,default,tkinter_default,bitblt,False,bitblt_False,11738,-1,11739
153,153,tkinter,default,tkinter_default,bitblt,False,bitblt_False,11703,-1,11704
154,154,tkinter,default,tkinter_default,bitblt,False,bitblt_False,17697,-1,17698
155,155,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
156,156,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16684,-1,16685
157,157,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16681,-1,16682
158,158,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16727,-1,16728
159,159,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14702,-1,14703
160,160,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15712,-1,15713
