,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,win32,default,win32_default,getpixel,True,getpixel_True,6678,3281,3397
1,1,win32,default,win32_default,getpixel,True,getpixel_True,8657,5107,3550
2,2,win32,default,win32_default,getpixel,True,getpixel_True,8699,2924,5775
3,3,win32,default,win32_default,getpixel,True,getpixel_True,7770,4567,3203
4,4,win32,default,win32_default,getpixel,True,getpixel_True,7686,4641,3045
5,5,win32,default,win32_default,getpixel,True,getpixel_True,6714,3414,3300
6,6,win32,default,win32_default,getpixel,True,getpixel_True,8698,7112,1586
7,7,win32,default,win32_default,getpixel,True,getpixel_True,7728,4499,3229
8,8,win32,default,win32_default,getpixel,True,getpixel_True,7685,2850,4835
9,9,win32,default,win32_default,getpixel,True,getpixel_True,7728,3115,4613
10,10,win32,default,win32_default,getpixel,True,getpixel_True,7686,2903,4783
11,11,win32,default,win32_default,getpixel,True,getpixel_True,7686,3888,3798
12,12,win32,default,win32_default,getpixel,True,getpixel_True,9756,5058,4698
13,13,win32,default,win32_default,getpixel,True,getpixel_True,8658,3459,5199
14,14,win32,default,win32_default,getpixel,True,getpixel_True,7730,4323,3407
15,15,win32,default,win32_default,getpixel,True,getpixel_True,6671,3600,3071
16,16,win32,default,win32_default,getpixel,True,getpixel_True,6755,3743,3012
17,17,win32,default,win32_default,getpixel,True,getpixel_True,8656,4932,3724
18,18,win32,default,win32_default,getpixel,True,getpixel_True,7770,3298,4472
19,19,win32,default,win32_default,getpixel,True,getpixel_True,7687,2780,4907
20,20,win32,default,win32_default,getpixel,True,getpixel_True,7726,3668,4058
21,21,win32,default,win32_default,getpixel,True,getpixel_True,6670,3242,3428
22,22,win32,default,win32_default,getpixel,True,getpixel_True,6714,3104,3610
23,23,win32,default,win32_default,getpixel,True,getpixel_True,8743,4960,3783
24,24,win32,default,win32_default,getpixel,True,getpixel_True,8698,3570,5128
25,25,win32,default,win32_default,getpixel,True,getpixel_True,7684,2814,4870
26,26,win32,default,win32_default,getpixel,True,getpixel_True,10726,6623,4103
27,27,win32,default,win32_default,getpixel,True,getpixel_True,7728,4692,3036
28,28,win32,default,win32_default,getpixel,True,getpixel_True,6672,2780,3892
29,29,win32,default,win32_default,getpixel,True,getpixel_True,7728,2794,4934
30,30,win32,default,win32_default,getpixel,True,getpixel_True,10726,5661,5065
31,31,win32,default,win32_default,getpixel,True,getpixel_True,7688,4126,3562
32,32,win32,default,win32_default,getpixel,True,getpixel_True,7688,4172,3516
33,33,win32,default,win32_default,getpixel,True,getpixel_True,8698,4627,4071
34,34,win32,default,win32_default,getpixel,True,getpixel_True,8699,4528,4171
35,35,win32,default,win32_default,getpixel,True,getpixel_True,6714,3441,3273
36,36,win32,default,win32_default,getpixel,True,getpixel_True,7770,4920,2850
37,37,win32,default,win32_default,getpixel,True,getpixel_True,6675,3296,3379
38,38,win32,default,win32_default,getpixel,True,getpixel_True,7728,4744,2984
39,39,win32,default,win32_default,getpixel,True,getpixel_True,6672,3057,3615
40,40,win32,default,win32_default,getpixel,True,getpixel_True,6715,3318,3397
41,41,win32,default,win32_default,getpixel,True,getpixel_True,5699,2954,2745
42,42,win32,default,win32_default,getpixel,True,getpixel_True,8700,5715,2985
43,43,win32,default,win32_default,getpixel,True,getpixel_True,9717,6301,3416
44,44,win32,default,win32_default,getpixel,True,getpixel_True,7686,4470,3216
45,45,win32,default,win32_default,getpixel,True,getpixel_True,7728,2916,4812
46,46,win32,default,win32_default,getpixel,True,getpixel_True,6755,2812,3943
47,47,win32,default,win32_default,getpixel,True,getpixel_True,7689,3888,3801
48,48,win32,default,win32_default,getpixel,True,getpixel_True,7686,7226,460
49,49,win32,default,win32_default,getpixel,True,getpixel_True,6767,2798,3969
50,50,win32,default,win32_default,getpixel,True,getpixel_True,6671,3274,3397
51,51,win32,default,win32_default,getpixel,True,getpixel_True,8698,4935,3763
52,52,win32,default,win32_default,getpixel,True,getpixel_True,8741,3412,5329
53,53,win32,default,win32_default,getpixel,True,getpixel_True,7684,4163,3521
54,54,win32,default,win32_default,getpixel,True,getpixel_True,8743,3458,5285
55,55,win32,default,win32_default,getpixel,True,getpixel_True,6670,5717,953
56,56,win32,default,win32_default,getpixel,True,getpixel_True,8740,3574,5166
57,57,win32,default,win32_default,getpixel,True,getpixel_True,7726,4685,3041
58,58,win32,default,win32_default,getpixel,True,getpixel_True,7690,4647,3043
59,59,win32,default,win32_default,getpixel,True,getpixel_True,7684,4293,3391
60,60,win32,default,win32_default,getpixel,True,getpixel_True,10728,5676,5052
61,61,win32,default,win32_default,getpixel,True,getpixel_True,7686,3016,4670
62,62,win32,default,win32_default,getpixel,True,getpixel_True,7731,3905,3826
63,63,win32,default,win32_default,getpixel,True,getpixel_True,7728,4135,3593
64,64,win32,default,win32_default,getpixel,True,getpixel_True,6671,3549,3122
65,65,win32,default,win32_default,getpixel,True,getpixel_True,7728,3741,3987
66,66,win32,default,win32_default,getpixel,True,getpixel_True,7685,4032,3653
67,67,win32,default,win32_default,getpixel,True,getpixel_True,7685,5906,1779
68,68,win32,default,win32_default,getpixel,True,getpixel_True,7729,4432,3297
69,69,win32,default,win32_default,getpixel,True,getpixel_True,7727,4118,3609
70,70,win32,default,win32_default,getpixel,True,getpixel_True,6714,2755,3959
71,71,win32,default,win32_default,getpixel,True,getpixel_True,6253,2853,3400
72,72,win32,default,win32_default,getpixel,True,getpixel_True,7685,3013,4672
73,73,win32,default,win32_default,getpixel,True,getpixel_True,7728,4787,2941
74,74,win32,default,win32_default,getpixel,True,getpixel_True,8658,3475,5183
75,75,win32,default,win32_default,getpixel,True,getpixel_True,7727,2781,4946
76,76,win32,default,win32_default,getpixel,True,getpixel_True,6713,3205,3508
77,77,win32,default,win32_default,getpixel,True,getpixel_True,7728,4942,2786
78,78,win32,default,win32_default,getpixel,True,getpixel_True,7685,4560,3125
79,79,win32,default,win32_default,getpixel,True,getpixel_True,7727,4696,3031
80,80,win32,default,win32_default,getpixel,True,getpixel_True,7727,4581,3146
81,81,win32,default,win32_default,getpixel,True,getpixel_True,8656,3692,4964
82,82,win32,default,win32_default,getpixel,True,getpixel_True,6713,3292,3421
83,83,win32,default,win32_default,getpixel,True,getpixel_True,8740,5169,3571
84,84,win32,default,win32_default,getpixel,True,getpixel_True,6714,2979,3735
85,85,win32,default,win32_default,getpixel,True,getpixel_True,6670,3673,2997
86,86,win32,default,win32_default,getpixel,True,getpixel_True,6756,3225,3531
87,87,win32,default,win32_default,getpixel,True,getpixel_True,7686,4340,3346
88,88,win32,default,win32_default,getpixel,True,getpixel_True,7728,4190,3538
89,89,win32,default,win32_default,getpixel,True,getpixel_True,7686,4374,3312
90,90,win32,default,win32_default,getpixel,True,getpixel_True,9717,6159,3558
91,91,win32,default,win32_default,getpixel,True,getpixel_True,7731,2769,4962
92,92,win32,default,win32_default,getpixel,True,getpixel_True,7685,2704,4981
93,93,win32,default,win32_default,getpixel,True,getpixel_True,10688,6667,4021
94,94,win32,default,win32_default,getpixel,True,getpixel_True,7684,5761,1923
95,95,win32,default,win32_default,getpixel,True,getpixel_True,8744,3457,5287
96,96,win32,default,win32_default,getpixel,True,getpixel_True,6671,3032,3639
97,97,win32,default,win32_default,getpixel,True,getpixel_True,6755,3485,3270
98,98,win32,default,win32_default,getpixel,True,getpixel_True,6713,3393,3320
