,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,win32,rects,win32_rects,getdbits,True,getdbits_True,17956,13651,4305
1,1,win32,rects,win32_rects,getdbits,True,getdbits_True,19641,14252,5389
2,2,win32,rects,win32_rects,getdbits,True,getdbits_True,19683,14348,5335
3,3,win32,rects,win32_rects,getdbits,True,getdbits_True,18716,12139,6577
4,4,win32,rects,win32_rects,getdbits,True,getdbits_True,18710,12219,6491
5,5,win32,rects,win32_rects,getdbits,True,getdbits_True,20275,13621,6654
6,6,win32,rects,win32_rects,getdbits,True,getdbits_True,18708,14516,4192
7,7,win32,rects,win32_rects,getdbits,True,getdbits_True,19685,13355,6330
8,8,win32,rects,win32_rects,getdbits,True,getdbits_True,17700,11347,6353
9,9,win32,rects,win32_rects,getdbits,True,getdbits_True,19684,13458,6226
10,10,win32,rects,win32_rects,getdbits,True,getdbits_True,18286,11918,6368
11,11,win32,rects,win32_rects,getdbits,True,getdbits_True,18711,14743,3968
12,12,win32,rects,win32_rects,getdbits,True,getdbits_True,20694,14426,6268
13,13,win32,rects,win32_rects,getdbits,True,getdbits_True,18708,13068,5640
14,14,win32,rects,win32_rects,getdbits,True,getdbits_True,20698,15096,5602
15,15,win32,rects,win32_rects,getdbits,True,getdbits_True,18750,12197,6553
16,16,win32,rects,win32_rects,getdbits,True,getdbits_True,19682,13476,6206
17,17,win32,rects,win32_rects,getdbits,True,getdbits_True,20695,13622,7073
18,18,win32,rects,win32_rects,getdbits,True,getdbits_True,18708,13000,5708
19,19,win32,rects,win32_rects,getdbits,True,getdbits_True,19682,15495,4187
20,20,win32,rects,win32_rects,getdbits,True,getdbits_True,16727,14526,2201
21,21,win32,rects,win32_rects,getdbits,True,getdbits_True,20739,17862,2877
22,22,win32,rects,win32_rects,getdbits,True,getdbits_True,18670,15811,2859
23,23,win32,rects,win32_rects,getdbits,True,getdbits_True,18713,14682,4031
24,24,win32,rects,win32_rects,getdbits,True,getdbits_True,17699,11778,5921
25,25,win32,rects,win32_rects,getdbits,True,getdbits_True,20743,14201,6542
26,26,win32,rects,win32_rects,getdbits,True,getdbits_True,17703,11410,6293
27,27,win32,rects,win32_rects,getdbits,True,getdbits_True,20698,14929,5769
28,28,win32,rects,win32_rects,getdbits,True,getdbits_True,18716,12456,6260
29,29,win32,rects,win32_rects,getdbits,True,getdbits_True,17694,11440,6254
30,30,win32,rects,win32_rects,getdbits,True,getdbits_True,20699,14567,6132
31,31,win32,rects,win32_rects,getdbits,True,getdbits_True,20697,14542,6155
32,32,win32,rects,win32_rects,getdbits,True,getdbits_True,17737,12123,5614
33,33,win32,rects,win32_rects,getdbits,True,getdbits_True,17699,11562,6137
34,34,win32,rects,win32_rects,getdbits,True,getdbits_True,19687,13780,5907
35,35,win32,rects,win32_rects,getdbits,True,getdbits_True,19727,13384,6343
36,36,win32,rects,win32_rects,getdbits,True,getdbits_True,19687,15683,4004
37,37,win32,rects,win32_rects,getdbits,True,getdbits_True,18708,13104,5604
38,38,win32,rects,win32_rects,getdbits,True,getdbits_True,20695,14341,6354
39,39,win32,rects,win32_rects,getdbits,True,getdbits_True,18711,12520,6191
40,40,win32,rects,win32_rects,getdbits,True,getdbits_True,22681,18188,4493
41,41,win32,rects,win32_rects,getdbits,True,getdbits_True,18712,14475,4237
42,42,win32,rects,win32_rects,getdbits,True,getdbits_True,18750,15957,2793
43,43,win32,rects,win32_rects,getdbits,True,getdbits_True,18670,14872,3798
44,44,win32,rects,win32_rects,getdbits,True,getdbits_True,18713,12419,6294
45,45,win32,rects,win32_rects,getdbits,True,getdbits_True,16689,12610,4079
46,46,win32,rects,win32_rects,getdbits,True,getdbits_True,20740,14216,6524
47,47,win32,rects,win32_rects,getdbits,True,getdbits_True,18708,12664,6044
48,48,win32,rects,win32_rects,getdbits,True,getdbits_True,18672,15247,3425
49,49,win32,rects,win32_rects,getdbits,True,getdbits_True,20744,14473,6271
50,50,win32,rects,win32_rects,getdbits,True,getdbits_True,19685,13635,6050
51,51,win32,rects,win32_rects,getdbits,True,getdbits_True,18754,12091,6663
