,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22728,19840,2888
1,1,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22643,18978,3665
2,2,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22725,18628,4097
3,3,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22680,18690,3990
4,4,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21709,18011,3698
5,5,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20695,16382,4313
6,6,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22720,18302,4418
7,7,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20738,16584,4154
8,8,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22682,18633,4049
9,9,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22724,18662,4062
10,10,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22681,18680,4001
11,11,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21713,17723,3990
12,12,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22686,18696,3990
13,13,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22724,18760,3964
14,14,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22683,18738,3945
15,15,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21711,17723,3988
16,16,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20735,16462,4273
17,17,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22684,18586,4098
18,18,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20700,16531,4169
19,19,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22729,18632,4097
20,20,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21713,17708,4005
21,21,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22720,18792,3928
22,22,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20697,16543,4154
23,23,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22682,18546,4136
24,24,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23701,19722,3979
25,25,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22725,18644,4081
26,26,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22684,18660,4024
27,27,pyqt6,rects,pyqt6_rects,windup,True,windup_True,19722,17395,2327
28,28,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23699,19269,4430
29,29,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20702,16585,4117
30,30,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18651,4070
31,31,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21665,17673,3992
32,32,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20735,16600,4135
33,33,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22681,18730,3951
34,34,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21712,17768,3944
35,35,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22730,18832,3898
36,36,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18585,4136
37,37,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22687,18624,4063
38,38,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23701,19551,4150
39,39,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21671,17624,4047
40,40,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21290,17260,4030
41,41,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22684,18706,3978
42,42,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18657,4064
43,43,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22681,18683,3998
44,44,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18623,4098
45,45,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21711,17819,3892
46,46,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22686,20190,2496
47,47,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22722,18672,4050
48,48,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22682,18461,4221
49,49,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21716,18072,3644
50,50,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22685,18817,3868
51,51,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21749,17745,4004
52,52,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21665,17641,4024
53,53,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18686,4035
54,54,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21714,17620,4094
55,55,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21710,17574,4136
56,56,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22687,19572,3115
57,57,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22683,18661,4022
58,58,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22722,18592,4130
59,59,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22723,18640,4083
60,60,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20737,16554,4183
61,61,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21670,17712,3958
62,62,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21711,17697,4014
63,63,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22723,18186,4537
64,64,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21710,17718,3992
65,65,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22688,18677,4011
66,66,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20693,16323,4370
67,67,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23701,19376,4325
68,68,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21683,17538,4145
69,69,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23735,19718,4017
70,70,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18618,4103
71,71,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23693,19809,3884
72,72,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22682,18798,3884
73,73,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20739,16759,3980
74,74,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21707,17731,3976
75,75,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22685,18608,4077
76,76,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21712,17667,4045
77,77,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22688,20113,2575
78,78,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20740,16613,4127
79,79,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23655,21424,2231
80,80,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22725,18636,4089
81,81,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21716,17709,4007
82,82,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22727,18708,4019
83,83,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22682,18622,4060
84,84,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22725,20219,2506
85,85,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22725,18630,4095
86,86,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22685,18610,4075
87,87,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21711,17479,4232
88,88,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21708,17513,4195
89,89,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22679,18603,4076
90,90,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22218,18393,3825
91,91,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21711,17682,4029
92,92,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22257,18286,3971
93,93,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21707,17714,3993
94,94,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21713,17692,4021
95,95,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23738,19561,4177
96,96,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21670,17816,3854
97,97,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22725,18603,4122
98,98,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20693,16384,4309
99,99,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22688,18653,4035
100,100,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21709,17668,4041
101,101,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22723,18688,4035
102,102,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22687,18642,4045
103,103,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21710,17703,4007
104,104,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22684,18711,3973
105,105,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22763,18628,4135
106,106,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21668,17629,4039
107,107,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21708,17741,3967
108,108,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22683,18629,4054
109,109,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21713,17796,3917
110,110,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22724,18642,4082
111,111,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21707,17681,4026
112,112,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21708,17586,4122
113,113,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21716,17688,4028
114,114,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22682,18743,3939
115,115,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22724,18629,4095
116,116,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21669,17673,3996
117,117,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22727,18801,3926
118,118,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22726,18649,4077
119,119,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22687,18446,4241
120,120,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20699,18286,2413
121,121,pyqt6,rects,pyqt6_rects,windup,True,windup_True,23696,19545,4151
122,122,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20701,18406,2295
123,123,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22727,20061,2666
124,124,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20707,16604,4103
125,125,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22686,18684,4002
126,126,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20743,16523,4220
127,127,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21673,17880,3793
128,128,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22726,20081,2645
129,129,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21669,17726,3943
130,130,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21752,17749,4003
131,131,pyqt6,rects,pyqt6_rects,windup,True,windup_True,20699,16569,4130
132,132,pyqt6,rects,pyqt6_rects,windup,True,windup_True,21707,17826,3881
133,133,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22721,18770,3951
134,134,pyqt6,rects,pyqt6_rects,windup,True,windup_True,22688,18687,4001
