,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,52084,0,52084
1,1,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,25424,0,25424
2,2,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,26212,0,26212
3,3,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,28112,0,28112
4,4,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,34172,0,34172
5,5,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,33040,0,33040
6,6,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,28348,0,28348
7,7,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,28228,0,28228
8,8,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,33612,0,33612
9,9,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,30804,0,30804
10,10,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,30800,0,30800
11,11,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,25208,0,25208
12,12,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,32068,0,32068
13,13,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,26452,0,26452
14,14,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,31820,0,31820
15,15,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,32144,0,32144
16,16,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,26776,0,26776
17,17,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,20624,0,20624
18,18,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,34628,0,34628
19,19,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,21860,0,21860
20,20,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,31052,0,31052
21,21,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,25328,0,25328
22,22,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,25216,0,25216
23,23,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,23408,0,23408
24,24,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,29792,0,29792
25,25,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,24868,0,24868
26,26,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,30484,0,30484
27,27,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,29576,0,29576
28,28,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,30936,0,30936
29,29,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,25536,0,25536
30,30,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,31492,0,31492
31,31,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,32948,0,32948
32,32,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,31472,0,31472
33,33,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,21736,0,21736
34,34,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,27104,0,27104
35,35,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,35392,0,35392
36,36,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,22844,0,22844
37,37,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,29476,0,29476
38,38,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,29136,0,29136
39,39,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,27348,0,27348
40,40,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,36192,0,36192
41,41,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,27888,0,27888
42,42,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,25556,0,25556
43,43,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,32508,0,32508
44,44,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,35956,0,35956
45,45,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,34172,0,34172
46,46,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,34720,0,34720
47,47,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,30240,0,30240
48,48,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,23644,0,23644
49,49,SDL2,rects,SDL2_rects,getdbits,False,getdbits_False,31488,0,31488
