,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,43036,0,43036
1,1,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24432,0,24432
2,2,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24764,0,24764
3,3,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,21284,0,21284
4,4,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,35196,0,35196
5,5,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24300,0,24300
6,6,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,32840,0,32840
7,7,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,27784,0,27784
8,8,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,33172,0,33172
9,9,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,30464,0,30464
10,10,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,31480,0,31480
11,11,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,26428,0,26428
12,12,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,19836,0,19836
13,13,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,23856,0,23856
14,14,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24752,0,24752
15,15,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,20388,0,20388
16,16,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,29460,0,29460
17,17,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,20728,0,20728
18,18,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,20948,0,20948
19,19,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,34184,0,34184
20,20,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,34500,0,34500
21,21,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,26100,0,26100
22,22,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,20272,0,20272
23,23,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,26768,0,26768
24,24,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,22068,0,22068
25,25,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24552,0,24552
26,26,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,29592,0,29592
27,27,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24864,0,24864
28,28,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,32484,0,32484
29,29,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,33736,0,33736
30,30,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,34632,0,34632
31,31,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,27008,0,27008
32,32,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,33172,0,33172
33,33,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,22976,0,22976
34,34,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,28692,0,28692
35,35,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,32164,0,32164
36,36,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,28444,0,28444
37,37,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,19940,0,19940
38,38,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,24420,0,24420
39,39,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,35192,0,35192
40,40,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,32712,0,32712
41,41,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,32252,0,32252
42,42,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,34836,0,34836
43,43,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,25316,0,25316
44,44,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,29012,0,29012
45,45,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,26888,0,26888
46,46,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,35856,0,35856
47,47,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,29700,0,29700
48,48,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,35528,0,35528
49,49,SDL2,rects,SDL2_rects,getpixel,False,getpixel_False,25196,0,25196
