,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,54924,15869,39055
1,1,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,45364,21426,23938
2,2,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,53432,13820,39612
3,3,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,45948,21915,24033
4,4,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,47068,8195,38873
5,5,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,49876,10621,39255
6,6,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,58244,18445,39799
7,7,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,50508,10652,39856
8,8,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,60188,20396,39792
9,9,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,51328,11443,39885
10,10,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,51516,11657,39859
11,11,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,48948,9151,39797
12,12,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,50740,11540,39200
13,13,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,46504,6582,39922
14,14,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,45836,21901,23935
15,15,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,50180,11283,38897
16,16,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,52748,13364,39384
17,17,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,46288,22780,23508
18,18,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,51536,11471,40065
19,19,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,48740,8704,40036
20,20,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,58800,19658,39142
21,21,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,47520,8487,39033
22,22,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,59840,20082,39758
23,23,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,52340,13223,39117
24,24,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,45028,21164,23864
25,25,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,54656,14971,39685
26,26,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,58952,19530,39422
27,27,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,46740,6830,39910
28,28,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,51444,12028,39416
29,29,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,53660,14216,39444
30,30,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,60368,21502,38866
31,31,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,55916,16880,39036
32,32,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,44584,20651,23933
33,33,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,51744,12468,39276
34,34,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,54244,14304,39940
35,35,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,52524,12487,40037
36,36,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,51760,11830,39930
37,37,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,55252,15733,39519
38,38,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,47848,8271,39577
39,39,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,52656,13526,39130
40,40,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,54680,14657,40023
41,41,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,54144,14594,39550
42,42,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,59372,19719,39653
43,43,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,48056,8528,39528
44,44,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,49524,9532,39992
45,45,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,45164,20789,24375
46,46,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,55704,15615,40089
47,47,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,48828,9128,39700
48,48,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,47820,8600,39220
49,49,pyqt5,default,pyqt5_default,getpixel,True,getpixel_True,53768,13989,39779
