,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2,default,SDL2_default,getpixel,False,getpixel_False,31160,0,31160
1,1,SDL2,default,SDL2_default,getpixel,False,getpixel_False,14680,0,14680
2,2,SDL2,default,SDL2_default,getpixel,False,getpixel_False,27672,0,27672
3,3,SDL2,default,SDL2_default,getpixel,False,getpixel_False,21300,0,21300
4,4,SDL2,default,SDL2_default,getpixel,False,getpixel_False,18820,0,18820
5,5,SDL2,default,SDL2_default,getpixel,False,getpixel_False,15452,0,15452
6,6,SDL2,default,SDL2_default,getpixel,False,getpixel_False,23292,0,23292
7,7,SDL2,default,SDL2_default,getpixel,False,getpixel_False,19392,0,19392
8,8,SDL2,default,SDL2_default,getpixel,False,getpixel_False,17136,0,17136
9,9,SDL2,default,SDL2_default,getpixel,False,getpixel_False,19828,0,19828
10,10,SDL2,default,SDL2_default,getpixel,False,getpixel_False,28232,0,28232
11,11,SDL2,default,SDL2_default,getpixel,False,getpixel_False,13552,0,13552
12,12,SDL2,default,SDL2_default,getpixel,False,getpixel_False,18612,0,18612
13,13,SDL2,default,SDL2_default,getpixel,False,getpixel_False,11992,0,11992
14,14,SDL2,default,SDL2_default,getpixel,False,getpixel_False,24416,0,24416
15,15,SDL2,default,SDL2_default,getpixel,False,getpixel_False,20168,0,20168
16,16,SDL2,default,SDL2_default,getpixel,False,getpixel_False,13452,0,13452
17,17,SDL2,default,SDL2_default,getpixel,False,getpixel_False,26656,0,26656
18,18,SDL2,default,SDL2_default,getpixel,False,getpixel_False,23196,0,23196
19,19,SDL2,default,SDL2_default,getpixel,False,getpixel_False,21512,0,21512
20,20,SDL2,default,SDL2_default,getpixel,False,getpixel_False,15236,0,15236
21,21,SDL2,default,SDL2_default,getpixel,False,getpixel_False,24100,0,24100
22,22,SDL2,default,SDL2_default,getpixel,False,getpixel_False,26780,0,26780
23,23,SDL2,default,SDL2_default,getpixel,False,getpixel_False,20180,0,20180
24,24,SDL2,default,SDL2_default,getpixel,False,getpixel_False,16916,0,16916
25,25,SDL2,default,SDL2_default,getpixel,False,getpixel_False,25096,0,25096
26,26,SDL2,default,SDL2_default,getpixel,False,getpixel_False,15680,0,15680
27,27,SDL2,default,SDL2_default,getpixel,False,getpixel_False,19164,0,19164
28,28,SDL2,default,SDL2_default,getpixel,False,getpixel_False,23084,0,23084
29,29,SDL2,default,SDL2_default,getpixel,False,getpixel_False,20520,0,20520
30,30,SDL2,default,SDL2_default,getpixel,False,getpixel_False,12208,0,12208
31,31,SDL2,default,SDL2_default,getpixel,False,getpixel_False,27220,0,27220
32,32,SDL2,default,SDL2_default,getpixel,False,getpixel_False,27108,0,27108
33,33,SDL2,default,SDL2_default,getpixel,False,getpixel_False,14000,0,14000
34,34,SDL2,default,SDL2_default,getpixel,False,getpixel_False,24428,0,24428
35,35,SDL2,default,SDL2_default,getpixel,False,getpixel_False,13784,0,13784
36,36,SDL2,default,SDL2_default,getpixel,False,getpixel_False,25888,0,25888
37,37,SDL2,default,SDL2_default,getpixel,False,getpixel_False,23864,0,23864
38,38,SDL2,default,SDL2_default,getpixel,False,getpixel_False,25668,0,25668
39,39,SDL2,default,SDL2_default,getpixel,False,getpixel_False,17708,0,17708
40,40,SDL2,default,SDL2_default,getpixel,False,getpixel_False,12336,0,12336
41,41,SDL2,default,SDL2_default,getpixel,False,getpixel_False,21076,0,21076
42,42,SDL2,default,SDL2_default,getpixel,False,getpixel_False,28000,0,28000
43,43,SDL2,default,SDL2_default,getpixel,False,getpixel_False,21280,0,21280
44,44,SDL2,default,SDL2_default,getpixel,False,getpixel_False,16136,0,16136
45,45,SDL2,default,SDL2_default,getpixel,False,getpixel_False,21960,0,21960
46,46,SDL2,default,SDL2_default,getpixel,False,getpixel_False,13452,0,13452
47,47,SDL2,default,SDL2_default,getpixel,False,getpixel_False,18484,0,18484
48,48,SDL2,default,SDL2_default,getpixel,False,getpixel_False,18144,0,18144
49,49,SDL2,default,SDL2_default,getpixel,False,getpixel_False,22868,0,22868
