,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,110293,-1,110294
1,1,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,113062,-1,113063
2,2,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104095,-1,104096
3,3,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104183,-1,104184
4,4,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105594,-1,105595
5,5,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,123309,-1,123310
6,6,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103485,-1,103486
7,7,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105099,-1,105100
8,8,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105709,-1,105710
9,9,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103999,-1,104000
10,10,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,119400,-1,119401
11,11,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104295,-1,104296
12,12,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103760,-1,103761
13,13,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,102316,-1,102317
14,14,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103995,-1,103996
15,15,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,121521,-1,121522
16,16,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104625,-1,104626
17,17,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104297,-1,104298
18,18,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,102653,-1,102654
19,19,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105342,-1,105343
20,20,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,126563,-1,126564
21,21,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104625,-1,104626
22,22,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105068,-1,105069
23,23,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,107126,-1,107127
24,24,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,128160,-1,128161
25,25,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103375,-1,103376
26,26,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105868,-1,105869
27,27,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104378,-1,104379
28,28,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104430,-1,104431
29,29,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,131330,-1,131331
30,30,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104574,-1,104575
31,31,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105539,-1,105540
32,32,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,106192,-1,106193
33,33,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105597,-1,105598
34,34,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,130825,-1,130826
35,35,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105378,-1,105379
36,36,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103516,-1,103517
37,37,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,98433,-1,98434
38,38,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,140095,-1,140096
39,39,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104329,-1,104330
40,40,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,108211,-1,108212
41,41,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,106156,-1,106157
42,42,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104013,-1,104014
43,43,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,136074,-1,136075
44,44,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,104667,-1,104668
45,45,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,100162,-1,100163
46,46,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,106288,-1,106289
47,47,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,148198,-1,148199
48,48,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,103752,-1,103753
49,49,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,107603,-1,107604
50,50,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,106966,-1,106967
51,51,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105532,-1,105533
52,52,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,147725,-1,147726
53,53,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105718,-1,105719
54,54,516,pyglet,3D,pyglet_3D,fullscreen,3,bitblt,105449,-1,105450
