,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,51324,-1,51325
1,1,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,25108,-1,25109
2,2,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,22412,-1,22413
3,3,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,35280,-1,35281
4,4,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,28788,-1,28789
5,5,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,23744,-1,23745
6,6,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,22064,-1,22065
7,7,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,24652,-1,24653
8,8,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,21956,-1,21957
9,9,SDL2,rects,SDL2_rects,bitblt,False,bitblt_False,25212,-1,25213
