,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10988,-1,10989
1,1,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10204,-1,10205
2,2,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,11088,-1,11089
3,3,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9744,-1,9745
4,4,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10308,-1,10309
5,5,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9076,-1,9077
6,6,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9404,-1,9405
7,7,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10988,-1,10989
8,8,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10540,-1,10541
9,9,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10088,-1,10089
10,10,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9980,-1,9981
11,11,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10984,-1,10985
12,12,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10992,-1,10993
13,13,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9856,-1,9857
14,14,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10420,-1,10421
15,15,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10092,-1,10093
16,16,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9640,-1,9641
17,17,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10864,-1,10865
18,18,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9860,-1,9861
19,19,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9860,-1,9861
20,20,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9412,-1,9413
21,21,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10984,-1,10985
22,22,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9756,-1,9757
23,23,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9188,-1,9189
24,24,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10424,-1,10425
25,25,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9408,-1,9409
26,26,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10648,-1,10649
27,27,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10192,-1,10193
28,28,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,8964,-1,8965
29,29,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10884,-1,10885
30,30,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10416,-1,10417
31,31,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,11312,-1,11313
32,32,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9632,-1,9633
33,33,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10308,-1,10309
34,34,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,11200,-1,11201
35,35,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,11536,-1,11537
36,36,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9864,-1,9865
37,37,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9528,-1,9529
38,38,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9860,-1,9861
39,39,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10080,-1,10081
40,40,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10752,-1,10753
41,41,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9520,-1,9521
42,42,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10536,-1,10537
43,43,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10192,-1,10193
44,44,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,9076,-1,9077
45,45,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10312,-1,10313
46,46,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10416,-1,10417
47,47,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10652,-1,10653
48,48,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,10876,-1,10877
49,49,DirectX11,default,DirectX11_default,getpixel,False,getpixel_False,11992,-1,11993
