,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18368,-1,18369
1,1,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15240,-1,15241
2,2,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15348,-1,15349
3,3,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15020,-1,15021
4,4,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15904,-1,15905
5,5,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18476,-1,18477
6,6,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15452,-1,15453
7,7,Java2D,default,Java2D_default,bitblt,False,bitblt_False,17924,-1,17925
8,8,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15456,-1,15457
9,9,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15688,-1,15689
10,10,Java2D,default,Java2D_default,bitblt,False,bitblt_False,17480,-1,17481
11,11,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16928,-1,16929
12,12,Java2D,default,Java2D_default,bitblt,False,bitblt_False,14908,-1,14909
13,13,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16580,-1,16581
14,14,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16920,-1,16921
15,15,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18376,-1,18377
16,16,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15584,-1,15585
17,17,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15240,-1,15241
18,18,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15132,-1,15133
19,19,Java2D,default,Java2D_default,bitblt,False,bitblt_False,17360,-1,17361
20,20,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16692,-1,16693
21,21,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16356,-1,16357
22,22,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16140,-1,16141
23,23,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15120,-1,15121
24,24,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16908,-1,16909
25,25,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18704,-1,18705
26,26,Java2D,default,Java2D_default,bitblt,False,bitblt_False,13104,-1,13105
27,27,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16240,-1,16241
28,28,Java2D,default,Java2D_default,bitblt,False,bitblt_False,14788,-1,14789
29,29,Java2D,default,Java2D_default,bitblt,False,bitblt_False,14236,-1,14237
30,30,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15908,-1,15909
31,31,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18712,-1,18713
32,32,Java2D,default,Java2D_default,bitblt,False,bitblt_False,14672,-1,14673
33,33,Java2D,default,Java2D_default,bitblt,False,bitblt_False,14792,-1,14793
34,34,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15132,-1,15133
35,35,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18928,-1,18929
36,36,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15676,-1,15677
37,37,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15360,-1,15361
38,38,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16140,-1,16141
39,39,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15236,-1,15237
40,40,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16040,-1,16041
41,41,Java2D,default,Java2D_default,bitblt,False,bitblt_False,17476,-1,17477
42,42,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16464,-1,16465
43,43,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15572,-1,15573
44,44,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15912,-1,15913
45,45,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16360,-1,16361
46,46,Java2D,default,Java2D_default,bitblt,False,bitblt_False,17924,-1,17925
47,47,Java2D,default,Java2D_default,bitblt,False,bitblt_False,18380,-1,18381
48,48,Java2D,default,Java2D_default,bitblt,False,bitblt_False,16696,-1,16697
49,49,Java2D,default,Java2D_default,bitblt,False,bitblt_False,15700,-1,15701
