,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29692,19641,10051
1,1,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31476,19807,11669
2,2,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29232,19850,9382
3,3,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29364,19694,9670
4,4,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28452,18897,9555
5,5,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28016,18286,9730
6,6,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31824,19769,12055
7,7,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28672,19125,9547
8,8,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30128,20357,9771
9,9,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29360,19299,10061
10,10,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29568,19417,10151
11,11,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29792,19910,9882
12,12,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29232,18637,10595
13,13,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30588,20079,10509
14,14,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29020,19439,9581
15,15,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28912,18943,9969
16,16,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29568,19365,10203
17,17,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30368,20406,9962
18,18,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30928,19604,11324
19,19,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28336,18745,9591
20,20,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29120,19328,9792
21,21,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29344,19282,10062
22,22,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,32036,20185,11851
23,23,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31700,20176,11524
24,24,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30708,20070,10638
25,25,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29456,20013,9443
26,26,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30128,19929,10199
27,27,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29584,19201,10383
28,28,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31696,20309,11387
29,29,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29792,19704,10088
30,30,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31812,20309,11503
31,31,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28788,19507,9281
32,32,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29468,18924,10544
33,33,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28240,18490,9750
34,34,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31920,20197,11723
35,35,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29568,19093,10475
36,36,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31132,20287,10845
37,37,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31588,20415,11173
38,38,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,27552,18363,9189
39,39,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30032,19422,10610
40,40,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,28112,18870,9242
41,41,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30140,20063,10077
42,42,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30140,19724,10416
43,43,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29684,18657,11027
44,44,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31920,20509,11411
45,45,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,29452,20499,8953
46,46,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30360,20222,10138
47,47,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31952,21316,10636
48,48,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,31700,20504,11196
49,49,Qt5,rects,Qt5_rects,bitblt,True,bitblt_True,30352,20538,9814
