,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyglet,default,pyglet_default,getdbits,True,getdbits_True,13552,3628,9924
1,1,pyglet,default,pyglet_default,getdbits,True,getdbits_True,28560,17615,10945
2,2,pyglet,default,pyglet_default,getdbits,True,getdbits_True,25436,17488,7948
3,3,pyglet,default,pyglet_default,getdbits,True,getdbits_True,26096,15691,10405
4,4,pyglet,default,pyglet_default,getdbits,True,getdbits_True,18824,7945,10879
5,5,pyglet,default,pyglet_default,getdbits,True,getdbits_True,23516,13450,10066
6,6,pyglet,default,pyglet_default,getdbits,True,getdbits_True,21744,14306,7438
7,7,pyglet,default,pyglet_default,getdbits,True,getdbits_True,23536,12600,10936
8,8,pyglet,default,pyglet_default,getdbits,True,getdbits_True,13440,3052,10388
9,9,pyglet,default,pyglet_default,getdbits,True,getdbits_True,13672,5860,7812
10,10,pyglet,default,pyglet_default,getdbits,True,getdbits_True,13556,6180,7376
11,11,pyglet,default,pyglet_default,getdbits,True,getdbits_True,22636,15462,7174
12,12,pyglet,default,pyglet_default,getdbits,True,getdbits_True,14112,3608,10504
13,13,pyglet,default,pyglet_default,getdbits,True,getdbits_True,18480,11338,7142
14,14,pyglet,default,pyglet_default,getdbits,True,getdbits_True,25984,15206,10778
15,15,pyglet,default,pyglet_default,getdbits,True,getdbits_True,27232,19835,7397
16,16,pyglet,default,pyglet_default,getdbits,True,getdbits_True,28228,20291,7937
17,17,pyglet,default,pyglet_default,getdbits,True,getdbits_True,14896,7145,7751
18,18,pyglet,default,pyglet_default,getdbits,True,getdbits_True,24864,13962,10902
19,19,pyglet,default,pyglet_default,getdbits,True,getdbits_True,15228,4781,10447
20,20,pyglet,default,pyglet_default,getdbits,True,getdbits_True,13660,5597,8063
21,21,pyglet,default,pyglet_default,getdbits,True,getdbits_True,12208,5002,7206
22,22,pyglet,default,pyglet_default,getdbits,True,getdbits_True,24652,16981,7671
23,23,pyglet,default,pyglet_default,getdbits,True,getdbits_True,16360,6453,9907
24,24,pyglet,default,pyglet_default,getdbits,True,getdbits_True,21168,10739,10429
25,25,pyglet,default,pyglet_default,getdbits,True,getdbits_True,14120,3614,10506
26,26,pyglet,default,pyglet_default,getdbits,True,getdbits_True,24544,14080,10464
27,27,pyglet,default,pyglet_default,getdbits,True,getdbits_True,11648,3925,7723
28,28,pyglet,default,pyglet_default,getdbits,True,getdbits_True,23192,15848,7344
29,29,pyglet,default,pyglet_default,getdbits,True,getdbits_True,20292,9796,10496
30,30,pyglet,default,pyglet_default,getdbits,True,getdbits_True,27440,17278,10162
31,31,pyglet,default,pyglet_default,getdbits,True,getdbits_True,15136,5235,9901
32,32,pyglet,default,pyglet_default,getdbits,True,getdbits_True,14336,3782,10554
33,33,pyglet,default,pyglet_default,getdbits,True,getdbits_True,26116,18349,7767
34,34,pyglet,default,pyglet_default,getdbits,True,getdbits_True,13672,5540,8132
35,35,pyglet,default,pyglet_default,getdbits,True,getdbits_True,17036,6755,10281
36,36,pyglet,default,pyglet_default,getdbits,True,getdbits_True,19596,8730,10866
37,37,pyglet,default,pyglet_default,getdbits,True,getdbits_True,18600,10576,8024
38,38,pyglet,default,pyglet_default,getdbits,True,getdbits_True,12328,2019,10309
39,39,pyglet,default,pyglet_default,getdbits,True,getdbits_True,27564,17339,10225
40,40,pyglet,default,pyglet_default,getdbits,True,getdbits_True,27104,19322,7782
41,41,pyglet,default,pyglet_default,getdbits,True,getdbits_True,15012,4591,10421
42,42,pyglet,default,pyglet_default,getdbits,True,getdbits_True,15912,5150,10762
43,43,pyglet,default,pyglet_default,getdbits,True,getdbits_True,12324,2035,10289
44,44,pyglet,default,pyglet_default,getdbits,True,getdbits_True,11760,4305,7455
45,45,pyglet,default,pyglet_default,getdbits,True,getdbits_True,11208,4226,6982
46,46,pyglet,default,pyglet_default,getdbits,True,getdbits_True,20952,10994,9958
47,47,pyglet,default,pyglet_default,getdbits,True,getdbits_True,17364,6800,10564
48,48,pyglet,default,pyglet_default,getdbits,True,getdbits_True,16360,5737,10623
49,49,pyglet,default,pyglet_default,getdbits,True,getdbits_True,19380,8835,10545
