,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,17820,-1,17821
1,1,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,20504,-1,20505
2,2,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,17696,-1,17697
3,3,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,30016,-1,30017
4,4,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,29144,-1,29145
5,5,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,29152,-1,29153
6,6,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,29912,-1,29913
7,7,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,31932,-1,31933
8,8,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26996,-1,26997
9,9,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,16576,-1,16577
10,10,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,30584,-1,30585
11,11,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,30244,-1,30245
12,12,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,32160,-1,32161
13,13,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,21520,-1,21521
14,14,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26316,-1,26317
15,15,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,23980,-1,23981
16,16,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,23196,-1,23197
17,17,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,25220,-1,25221
18,18,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,20720,-1,20721
19,19,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,25532,-1,25533
20,20,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,24312,-1,24313
21,21,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,20048,-1,20049
22,22,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,30696,-1,30697
23,23,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,19276,-1,19277
24,24,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,27240,-1,27241
25,25,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26220,-1,26221
26,26,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,21844,-1,21845
27,27,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,27908,-1,27909
28,28,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,22960,-1,22961
29,29,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,21168,-1,21169
30,30,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,31724,-1,31725
31,31,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26792,-1,26793
32,32,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,18496,-1,18497
33,33,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,18484,-1,18485
34,34,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,31152,-1,31153
35,35,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,25764,-1,25765
36,36,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26768,-1,26769
37,37,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,23200,-1,23201
38,38,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,27460,-1,27461
39,39,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,23640,-1,23641
40,40,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,21728,-1,21729
41,41,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26336,-1,26337
42,42,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,28912,-1,28913
43,43,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,11328,-1,11329
44,44,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,19716,-1,19717
45,45,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,28356,-1,28357
46,46,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,26788,-1,26789
47,47,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,23636,-1,23637
48,48,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,31484,-1,31485
49,49,pyglet,rects,pyglet_rects,getpixel,False,getpixel_False,29568,-1,29569
