,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14124,6757,7367
1,1,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15116,5170,9946
2,2,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16128,5593,10535
3,3,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15680,5471,10209
4,4,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16032,5769,10263
5,5,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16144,5285,10859
6,6,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16036,6168,9868
7,7,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15924,6293,9631
8,8,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15912,5159,10753
9,9,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14456,7026,7430
10,10,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14348,4641,9707
11,11,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15584,5477,10107
12,12,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14108,4533,9575
13,13,tkinter,default,tkinter_default,getpixel,True,getpixel_True,13552,4061,9491
14,14,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15460,5511,9949
15,15,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14000,4787,9213
16,16,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15120,5482,9638
17,17,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15796,5772,10024
18,18,tkinter,default,tkinter_default,getpixel,True,getpixel_True,12996,3395,9601
19,19,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14336,4594,9742
20,20,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14112,6383,7729
21,21,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15352,5436,9916
22,22,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14568,6610,7958
23,23,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14688,6911,7777
24,24,tkinter,default,tkinter_default,getpixel,True,getpixel_True,13568,4202,9366
25,25,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15120,5852,9268
26,26,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16360,5785,10575
27,27,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15908,5815,10093
28,28,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15796,5817,9979
29,29,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14452,4714,9738
30,30,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14456,4700,9756
31,31,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15684,5832,9852
32,32,tkinter,default,tkinter_default,getpixel,True,getpixel_True,13996,3937,10059
33,33,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15572,5529,10043
34,34,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14792,5581,9211
35,35,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15120,5115,10005
36,36,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16472,5832,10640
37,37,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14452,6533,7919
38,38,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15916,5535,10381
39,39,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14788,5657,9131
40,40,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15356,5452,9904
41,41,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14916,4841,10075
42,42,tkinter,default,tkinter_default,getpixel,True,getpixel_True,13560,6308,7252
43,43,tkinter,default,tkinter_default,getpixel,True,getpixel_True,13672,3414,10258
44,44,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14120,6397,7723
45,45,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16360,5847,10513
46,46,tkinter,default,tkinter_default,getpixel,True,getpixel_True,16244,5987,10257
47,47,tkinter,default,tkinter_default,getpixel,True,getpixel_True,14460,5338,9122
48,48,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15012,6834,8178
49,49,tkinter,default,tkinter_default,getpixel,True,getpixel_True,15016,5611,9405
