,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,wxpython,default,wxpython_default,getpixel,False,getpixel_False,16924,-1,16925
1,1,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14224,-1,14225
2,2,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13552,-1,13553
3,3,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15452,-1,15453
4,4,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13896,-1,13897
5,5,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13000,-1,13001
6,6,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15572,-1,15573
7,7,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15792,-1,15793
8,8,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13220,-1,13221
9,9,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12884,-1,12885
10,10,wxpython,default,wxpython_default,getpixel,False,getpixel_False,16804,-1,16805
11,11,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12996,-1,12997
12,12,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12884,-1,12885
13,13,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13216,-1,13217
14,14,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13220,-1,13221
15,15,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12988,-1,12989
16,16,wxpython,default,wxpython_default,getpixel,False,getpixel_False,16128,-1,16129
17,17,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13900,-1,13901
18,18,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14568,-1,14569
19,19,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14460,-1,14461
20,20,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12780,-1,12781
21,21,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15796,-1,15797
22,22,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13000,-1,13001
23,23,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14120,-1,14121
24,24,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14684,-1,14685
25,25,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13336,-1,13337
26,26,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14008,-1,14009
27,27,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13224,-1,13225
28,28,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13100,-1,13101
29,29,wxpython,default,wxpython_default,getpixel,False,getpixel_False,16024,-1,16025
30,30,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14448,-1,14449
31,31,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14124,-1,14125
32,32,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13560,-1,13561
33,33,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13900,-1,13901
34,34,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15480,-1,15481
35,35,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15456,-1,15457
36,36,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14912,-1,14913
37,37,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12668,-1,12669
38,38,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13324,-1,13325
39,39,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13892,-1,13893
40,40,wxpython,default,wxpython_default,getpixel,False,getpixel_False,13216,-1,13217
41,41,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14784,-1,14785
42,42,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12664,-1,12665
43,43,wxpython,default,wxpython_default,getpixel,False,getpixel_False,14004,-1,14005
44,44,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12996,-1,12997
45,45,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15008,-1,15009
46,46,wxpython,default,wxpython_default,getpixel,False,getpixel_False,15228,-1,15229
47,47,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12996,-1,12997
48,48,wxpython,default,wxpython_default,getpixel,False,getpixel_False,16812,-1,16813
49,49,wxpython,default,wxpython_default,getpixel,False,getpixel_False,12996,-1,12997
