,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13004,2641,10363
1,1,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13772,2992,10780
2,2,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12876,2796,10080
3,3,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12880,3027,9853
4,4,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11312,3517,7795
5,5,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11872,4267,7605
6,6,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12556,2518,10038
7,7,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13332,2791,10541
8,8,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11768,3585,8183
9,9,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12332,2218,10114
10,10,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11312,3669,7643
11,11,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13668,3506,10162
12,12,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11208,3722,7486
13,13,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11660,3866,7794
14,14,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13104,3320,9784
15,15,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13112,3138,9974
16,16,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12432,2136,10296
17,17,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13772,3634,10138
18,18,wxpython,default,wxpython_default,getpixel,True,getpixel_True,10876,3584,7292
19,19,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12548,4912,7636
20,20,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12432,4868,7564
21,21,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13212,3427,9785
22,22,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13440,3218,10222
23,23,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13552,3808,9744
24,24,wxpython,default,wxpython_default,getpixel,True,getpixel_True,10976,3659,7317
25,25,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13108,2741,10367
26,26,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12096,3983,8113
27,27,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12780,3053,9727
28,28,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12768,2356,10412
29,29,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11208,3652,7556
30,30,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11216,3515,7701
31,31,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12772,4938,7834
32,32,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11652,1720,9932
33,33,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13340,2647,10693
34,34,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13220,2733,10487
35,35,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11648,4096,7552
36,36,wxpython,default,wxpython_default,getpixel,True,getpixel_True,14004,3489,10515
37,37,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13344,6099,7245
38,38,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12104,4740,7364
39,39,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13220,2987,10233
40,40,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12332,1991,10341
41,41,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13112,2649,10463
42,42,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11772,3722,8050
43,43,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13004,2954,10050
44,44,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13784,3321,10463
45,45,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12100,1868,10232
46,46,wxpython,default,wxpython_default,getpixel,True,getpixel_True,12328,1942,10386
47,47,wxpython,default,wxpython_default,getpixel,True,getpixel_True,13000,2755,10245
48,48,wxpython,default,wxpython_default,getpixel,True,getpixel_True,11536,1730,9806
49,49,wxpython,default,wxpython_default,getpixel,True,getpixel_True,14228,3624,10604
