,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16588,-1,16589
1,1,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17036,-1,17037
2,2,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16016,-1,16017
3,3,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,18264,-1,18265
4,4,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16692,-1,16693
5,5,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16352,-1,16353
6,6,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15128,-1,15129
7,7,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16584,-1,16585
8,8,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,14444,-1,14445
9,9,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15792,-1,15793
10,10,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15908,-1,15909
11,11,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,14796,-1,14797
12,12,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17140,-1,17141
13,13,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15012,-1,15013
14,14,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16124,-1,16125
15,15,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,13676,-1,13677
16,16,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15912,-1,15913
17,17,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,12652,-1,12653
18,18,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,14904,-1,14905
19,19,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17928,-1,17929
20,20,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,12432,-1,12433
21,21,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,18052,-1,18053
22,22,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16704,-1,16705
23,23,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15800,-1,15801
24,24,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16240,-1,16241
25,25,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17488,-1,17489
26,26,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16372,-1,16373
27,27,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16468,-1,16469
28,28,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15912,-1,15913
29,29,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16036,-1,16037
30,30,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15348,-1,15349
31,31,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17488,-1,17489
32,32,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,18048,-1,18049
33,33,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15572,-1,15573
34,34,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17808,-1,17809
35,35,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16464,-1,16465
36,36,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16700,-1,16701
37,37,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16252,-1,16253
38,38,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16916,-1,16917
39,39,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,12436,-1,12437
40,40,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16352,-1,16353
41,41,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17368,-1,17369
42,42,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15232,-1,15233
43,43,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,17472,-1,17473
44,44,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,18036,-1,18037
45,45,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,14900,-1,14901
46,46,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16916,-1,16917
47,47,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,16364,-1,16365
48,48,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15904,-1,15905
49,49,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,15800,-1,15801
