,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,18836,2816,16020
1,1,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,16916,2484,14432
2,2,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,22740,2987,19753
3,3,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,20168,3259,16909
4,4,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,18704,3045,15659
5,5,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,10636,2692,7944
6,6,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,19392,2224,17168
7,7,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,22624,2075,20549
8,8,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,10080,1775,8305
9,9,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,16136,3041,13095
10,10,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,21284,3969,17315
11,11,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,18944,997,17947
12,12,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,18280,998,17282
13,13,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,21512,2018,19494
14,14,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,22756,3583,19173
15,15,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,26888,2407,24481
16,16,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,20384,1073,19311
17,17,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,10540,2776,7764
18,18,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,13000,1125,11875
19,19,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,13896,3283,10613
20,20,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,12332,2875,9457
21,21,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,11760,2369,9391
22,22,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,21520,2193,19327
23,23,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,18384,2449,15935
24,24,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,21520,2127,19393
25,25,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,21512,2789,18723
26,26,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,11204,2090,9114
27,27,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,24996,1994,23002
28,28,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,24308,3213,21095
29,29,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,22736,2730,20006
30,30,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,17256,2526,14730
31,31,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,14116,2316,11800
32,32,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,24976,2303,22673
33,33,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,19932,2766,17166
34,34,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,11532,3488,8044
35,35,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,12212,2503,9709
36,36,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,22512,2474,20038
37,37,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,11540,2289,9251
38,38,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,13560,3198,10362
39,39,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,15228,2037,13191
40,40,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,12104,3142,8962
41,41,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,27456,1376,26080
42,42,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,11316,2369,8947
43,43,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,22288,3150,19138
44,44,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,17924,4019,13905
45,45,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,23756,3330,20426
46,46,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,19608,3676,15932
47,47,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,18824,2182,16642
48,48,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,25108,3253,21855
49,49,pyglet,default,pyglet_default,pyautogui_reader,True,pyautogui_reader_True,13552,1768,11784
