,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,21052,-1,21053
1,1,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19152,-1,19153
2,2,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,13668,-1,13669
3,3,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18716,-1,18717
4,4,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,17472,-1,17473
5,5,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,17480,-1,17481
6,6,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19168,-1,19169
7,7,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,22628,-1,22629
8,8,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,17468,-1,17469
9,9,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,16480,-1,16481
10,10,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,16584,-1,16585
11,11,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,13892,-1,13893
12,12,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19940,-1,19941
13,13,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19716,-1,19717
14,14,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19168,-1,19169
15,15,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,22296,-1,22297
16,16,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,13892,-1,13893
17,17,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,17260,-1,17261
18,18,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19056,-1,19057
19,19,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19724,-1,19725
20,20,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,22176,-1,22177
21,21,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18708,-1,18709
22,22,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19392,-1,19393
23,23,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19388,-1,19389
24,24,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18608,-1,18609
25,25,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,16368,-1,16369
26,26,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19388,-1,19389
27,27,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18712,-1,18713
28,28,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19820,-1,19821
29,29,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19272,-1,19273
30,30,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18268,-1,18269
31,31,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18592,-1,18593
32,32,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19384,-1,19385
33,33,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19156,-1,19157
34,34,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,22180,-1,22181
35,35,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19724,-1,19725
36,36,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,18600,-1,18601
37,37,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19600,-1,19601
38,38,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19384,-1,19385
39,39,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,22408,-1,22409
40,40,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19836,-1,19837
41,41,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,16028,-1,16029
42,42,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19488,-1,19489
43,43,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,22172,-1,22173
44,44,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,13548,-1,13549
45,45,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19036,-1,19037
46,46,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,14344,-1,14345
47,47,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19488,-1,19489
48,48,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,21400,-1,21401
49,49,pyqt5,default,pyqt5_default,ctypes_reader,False,ctypes_reader_False,19044,-1,19045
