,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11361,4528,6833
1,1,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11160,6605,4555
2,2,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10201,5895,4306
3,3,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,8994,4655,4339
4,4,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,12742,6229,6513
5,5,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11181,4459,6722
6,6,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10741,3883,6858
7,7,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10535,5986,4549
8,8,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9626,5428,4198
9,9,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11004,4084,6920
10,10,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11062,4319,6743
11,11,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10120,5767,4353
12,12,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10681,4025,6656
13,13,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11065,4221,6844
14,14,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,13184,6263,6921
15,15,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10312,5943,4369
16,16,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10791,4079,6712
17,17,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10201,5944,4257
18,18,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10824,4047,6777
19,19,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11269,6976,4293
20,20,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11112,4416,6696
21,21,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10729,4077,6652
22,22,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11771,7254,4517
23,23,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9781,5279,4502
24,24,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,14220,7309,6911
25,25,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10008,5502,4506
26,26,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10009,5607,4402
27,27,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,12838,6083,6755
28,28,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9240,4858,4382
29,29,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11063,4559,6504
30,30,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10919,4075,6844
31,31,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11173,4240,6933
32,32,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11303,4547,6756
33,33,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10455,5922,4533
34,34,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9722,5199,4523
35,35,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9542,5091,4451
36,36,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10008,5744,4264
37,37,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,11317,4483,6834
38,38,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9482,5126,4356
39,39,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10249,5701,4548
40,40,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,12034,7674,4360
41,41,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9952,5586,4366
42,42,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10489,6010,4479
43,43,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9625,5210,4415
44,44,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10489,6142,4347
45,45,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,9067,4924,4143
46,46,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10153,5718,4435
47,47,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10679,4134,6545
48,48,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10237,3744,6493
49,49,498,GLUT,image,GLUT_image,fullscreen,2,getpixel,10854,4191,6663
