,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5759,3123,2636
1,1,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5037,2745,2292
2,2,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6428,2086,4342
3,3,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6606,2061,4545
4,4,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6031,2698,3333
5,5,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,7230,2545,4685
6,6,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6809,2265,4544
7,7,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5502,2880,2622
8,8,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5396,2866,2530
9,9,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5167,2999,2168
10,10,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5742,3218,2524
11,11,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6809,2241,4568
12,12,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5552,2794,2758
13,13,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5446,2922,2524
14,14,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6715,2234,4481
15,15,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6797,2154,4643
16,16,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6366,3775,2591
17,17,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6319,3777,2542
18,18,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6306,2631,3675
19,19,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6318,2124,4194
20,20,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6091,2891,3200
21,21,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6617,2226,4391
22,22,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5120,2663,2457
23,23,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5455,2785,2670
24,24,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6174,3417,2757
25,25,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5839,2963,2876
26,26,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6606,2171,4435
27,27,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6244,3428,2816
28,28,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5311,3042,2269
29,29,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5599,2784,2815
30,30,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6404,3514,2890
31,31,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5503,2540,2963
32,32,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5983,2663,3320
33,33,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5064,2570,2494
34,34,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5311,2659,2652
35,35,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5167,2701,2466
36,36,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,4928,2533,2395
37,37,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5207,2620,2587
38,38,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6476,2873,3603
39,39,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6031,2558,3473
40,40,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5969,2785,3184
41,41,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5551,2497,3054
42,42,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6606,2174,4432
43,43,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6237,2710,3527
44,44,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,4880,2563,2317
45,45,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6557,1984,4573
46,46,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5599,2852,2747
47,47,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5285,2945,2340
48,48,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,5551,2848,2703
49,49,502,JavaSwing,image,JavaSwing_image,fullscreen,3,bitblt,6463,3745,2718
