,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6621,2162,4459
1,1,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5215,2984,2231
2,2,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6331,3472,2859
3,3,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6428,3755,2673
4,4,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6077,2299,3778
5,5,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6283,1936,4347
6,6,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6844,2328,4516
7,7,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6462,3605,2857
8,8,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6094,2755,3339
9,9,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5887,2882,3005
10,10,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5455,2487,2968
11,11,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5024,2557,2467
12,12,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6126,3372,2754
13,13,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5599,2859,2740
14,14,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6462,3951,2511
15,15,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5598,2681,2917
16,16,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,4737,2179,2558
17,17,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6750,2273,4477
18,18,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6622,2305,4317
19,19,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5360,2766,2594
20,20,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5934,2439,3495
21,21,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5407,2677,2730
22,22,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6222,1893,4329
23,23,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5179,2867,2312
24,24,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6174,3383,2791
25,25,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6859,2338,4521
26,26,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5935,2509,3426
27,27,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5360,2970,2390
28,28,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6463,1956,4507
29,29,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5108,2693,2415
30,30,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,4976,2529,2447
31,31,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6189,3478,2711
32,32,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5454,2627,2827
33,33,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5611,2556,3055
34,34,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5456,2704,2752
35,35,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6174,3399,2775
36,36,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6126,2749,3377
37,37,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5900,3244,2656
38,38,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5551,2795,2756
39,39,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6340,3604,2736
40,40,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5710,2485,3225
41,41,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5905,2739,3166
42,42,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6862,2226,4636
43,43,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5360,3128,2232
44,44,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6329,3499,2830
45,45,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5467,2777,2690
46,46,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6653,2095,4558
47,47,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5455,2542,2913
48,48,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,5503,3287,2216
49,49,502,JavaSwing,image,JavaSwing_image,fullscreen,3,getdbits,6510,2269,4241
