,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9210,5881,3329
1,1,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9015,6388,2627
2,2,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8448,5833,2615
3,3,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8633,6060,2573
4,4,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10011,6772,3239
5,5,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9215,6449,2766
6,6,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8827,6022,2805
7,7,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9529,6630,2899
8,8,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9353,6469,2884
9,9,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8187,6813,1374
10,10,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9736,6765,2971
11,11,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8811,7447,1364
12,12,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9578,7257,2321
13,13,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8954,6144,2810
14,14,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8730,6022,2708
15,15,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8809,6469,2340
16,16,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10345,6982,3363
17,17,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8343,7071,1272
18,18,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8284,6378,1906
19,19,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10648,7181,3467
20,20,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8784,6438,2346
21,21,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9624,6501,3123
22,22,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9113,6162,2951
23,23,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9496,7048,2448
24,24,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10153,7024,3129
25,25,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9397,6034,3363
26,26,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8571,6127,2444
27,27,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8251,6962,1289
28,28,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9308,5960,3348
29,29,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9109,6100,3009
30,30,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8945,6569,2376
31,31,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9003,6160,2843
32,32,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9980,7145,2835
33,33,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9097,6077,3020
34,34,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9263,6829,2434
35,35,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8764,7980,784
36,36,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10440,7666,2774
37,37,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9210,6434,2776
38,38,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10453,7355,3098
39,39,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10009,7155,2854
40,40,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10057,6924,3133
41,41,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9529,6397,3132
42,42,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9626,6612,3014
43,43,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10212,7213,2999
44,44,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8859,6128,2731
45,45,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8571,6275,2296
46,46,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9577,6663,2914
47,47,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,9288,6182,3106
48,48,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,10008,6849,3159
49,49,501,Unity,3D,Unity_3D,fullscreen,2,getdbits,8953,7181,1772
