,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,12279,2566,9713
1,1,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,13091,2517,10574
2,2,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,22350,2539,19811
3,3,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,23257,2420,20837
4,4,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,24116,2261,21855
5,5,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,13627,2514,11113
6,6,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,20072,1259,18813
7,7,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,18890,2475,16415
8,8,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,6558,1809,4749
9,9,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,17978,2484,15494
10,10,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,22341,2183,20158
11,11,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,23565,2208,21357
12,12,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,21904,2272,19632
13,13,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,17977,1219,16758
14,14,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,20327,2219,18108
15,15,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,14129,2552,11577
16,16,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,25067,2736,22331
17,17,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,21814,1074,20740
18,18,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,22247,2206,20041
19,19,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,7997,1222,6775
20,20,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,12356,2535,9821
21,21,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,21898,2346,19552
22,22,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,20615,1809,18806
23,23,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,25119,2781,22338
24,24,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,8586,1787,6799
25,25,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,11021,2326,8695
26,26,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,14958,2165,12793
27,27,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,11698,2502,9196
28,28,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,15007,2407,12600
29,29,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,10728,2018,8710
30,30,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,13866,2311,11555
31,31,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,12755,2146,10609
32,32,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,18844,2414,16430
33,33,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,20663,1853,18810
34,34,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,22480,2389,20091
35,35,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,19750,2223,17527
36,36,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,13988,2472,11516
37,37,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,22145,1554,20591
38,38,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,24925,2016,22909
39,39,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,13834,2441,11393
40,40,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,10285,1665,8620
41,41,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,11254,2428,8826
42,42,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,12823,2523,10300
43,43,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,8666,2191,6475
44,44,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,19549,2942,16607
45,45,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,12410,2429,9981
46,46,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,24882,2449,22433
47,47,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,17789,2134,15655
48,48,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,13290,2882,10408
49,49,502,pyglet,image,pyglet_image,fullscreen,3,getpixel,12309,2068,10241
