,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,508,pyglet,image,pyglet_image,fullscreen,,none,14066,-1,14067
1,1,508,pyglet,image,pyglet_image,fullscreen,,none,18173,-1,18174
2,2,508,pyglet,image,pyglet_image,fullscreen,,none,19850,-1,19851
3,3,508,pyglet,image,pyglet_image,fullscreen,,none,25797,-1,25798
4,4,508,pyglet,image,pyglet_image,fullscreen,,none,29919,-1,29920
5,5,508,pyglet,image,pyglet_image,fullscreen,,none,14700,-1,14701
6,6,508,pyglet,image,pyglet_image,fullscreen,,none,19539,-1,19540
7,7,508,pyglet,image,pyglet_image,fullscreen,,none,22535,-1,22536
8,8,508,pyglet,image,pyglet_image,fullscreen,,none,26612,-1,26613
9,9,508,pyglet,image,pyglet_image,fullscreen,,none,21769,-1,21770
10,10,508,pyglet,image,pyglet_image,fullscreen,,none,17288,-1,17289
11,11,508,pyglet,image,pyglet_image,fullscreen,,none,19414,-1,19415
12,12,508,pyglet,image,pyglet_image,fullscreen,,none,14794,-1,14795
13,13,508,pyglet,image,pyglet_image,fullscreen,,none,17548,-1,17549
14,14,508,pyglet,image,pyglet_image,fullscreen,,none,16334,-1,16335
15,15,508,pyglet,image,pyglet_image,fullscreen,,none,34729,-1,34730
16,16,508,pyglet,image,pyglet_image,fullscreen,,none,28791,-1,28792
17,17,508,pyglet,image,pyglet_image,fullscreen,,none,25021,-1,25022
18,18,508,pyglet,image,pyglet_image,fullscreen,,none,19321,-1,19322
19,19,508,pyglet,image,pyglet_image,fullscreen,,none,25096,-1,25097
20,20,508,pyglet,image,pyglet_image,fullscreen,,none,17021,-1,17022
21,21,508,pyglet,image,pyglet_image,fullscreen,,none,18048,-1,18049
22,22,508,pyglet,image,pyglet_image,fullscreen,,none,19424,-1,19425
23,23,508,pyglet,image,pyglet_image,fullscreen,,none,25314,-1,25315
24,24,508,pyglet,image,pyglet_image,fullscreen,,none,21212,-1,21213
25,25,508,pyglet,image,pyglet_image,fullscreen,,none,25694,-1,25695
26,26,508,pyglet,image,pyglet_image,fullscreen,,none,17577,-1,17578
27,27,508,pyglet,image,pyglet_image,fullscreen,,none,29435,-1,29436
28,28,508,pyglet,image,pyglet_image,fullscreen,,none,23323,-1,23324
29,29,508,pyglet,image,pyglet_image,fullscreen,,none,31047,-1,31048
30,30,508,pyglet,image,pyglet_image,fullscreen,,none,17307,-1,17308
31,31,508,pyglet,image,pyglet_image,fullscreen,,none,21160,-1,21161
32,32,508,pyglet,image,pyglet_image,fullscreen,,none,23800,-1,23801
33,33,508,pyglet,image,pyglet_image,fullscreen,,none,18322,-1,18323
34,34,508,pyglet,image,pyglet_image,fullscreen,,none,27896,-1,27897
35,35,508,pyglet,image,pyglet_image,fullscreen,,none,16997,-1,16998
36,36,508,pyglet,image,pyglet_image,fullscreen,,none,24137,-1,24138
37,37,508,pyglet,image,pyglet_image,fullscreen,,none,25060,-1,25061
38,38,508,pyglet,image,pyglet_image,fullscreen,,none,21910,-1,21911
39,39,508,pyglet,image,pyglet_image,fullscreen,,none,22215,-1,22216
40,40,508,pyglet,image,pyglet_image,fullscreen,,none,11494,-1,11495
41,41,508,pyglet,image,pyglet_image,fullscreen,,none,14935,-1,14936
42,42,508,pyglet,image,pyglet_image,fullscreen,,none,24709,-1,24710
43,43,508,pyglet,image,pyglet_image,fullscreen,,none,19007,-1,19008
44,44,508,pyglet,image,pyglet_image,fullscreen,,none,16975,-1,16976
45,45,508,pyglet,image,pyglet_image,fullscreen,,none,30477,-1,30478
46,46,508,pyglet,image,pyglet_image,fullscreen,,none,21083,-1,21084
47,47,508,pyglet,image,pyglet_image,fullscreen,,none,18954,-1,18955
48,48,508,pyglet,image,pyglet_image,fullscreen,,none,18505,-1,18506
49,49,508,pyglet,image,pyglet_image,fullscreen,,none,26372,-1,26373
