,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5703,1904,3799
1,1,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6544,2918,3626
2,2,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6671,2970,3701
3,3,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2304,3311
4,4,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,7600,2626,4974
5,5,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6631,2782,3849
6,6,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5658,2994,2664
7,7,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2649,2966
8,8,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2046,3569
9,9,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6672,2833,3839
10,10,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5572,1906,3666
11,11,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5661,2192,3469
12,12,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,3031,3598
13,13,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,2931,2726
14,14,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,1820,3795
15,15,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5616,1955,3661
16,16,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2542,4087
17,17,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,1807,3808
18,18,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2929,2686
19,19,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2766,2849
20,20,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5658,1863,3795
21,21,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6630,2897,3733
22,22,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5656,1858,3798
23,23,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6586,2919,3667
24,24,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,2898,3730
25,25,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2900,3729
26,26,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5617,2106,3511
27,27,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,7684,5277,2407
28,28,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6587,3008,3579
29,29,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5616,1967,3649
30,30,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,3144,2471
31,31,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6671,2981,3690
32,32,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2026,3589
33,33,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,1811,3804
34,34,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,2757,3871
35,35,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3018,3610
36,36,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6674,3024,3650
37,37,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6587,2956,3631
38,38,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3015,3613
39,39,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3130,3498
40,40,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6630,4117,2513
41,41,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2003,3612
42,42,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6632,2837,3795
43,43,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,2142,3515
44,44,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5616,3007,2609
45,45,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2021,3594
46,46,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,2100,3557
47,47,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5572,2061,3511
48,48,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6206,2974,3232
49,49,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5573,1841,3732
50,50,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5701,2186,3515
51,51,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6587,3212,3375
52,52,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2981,3648
53,53,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2937,3692
54,54,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2744,2871
55,55,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,2517,3140
56,56,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5616,2141,3475
57,57,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3051,3577
58,58,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6633,2962,3671
59,59,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2975,3654
60,60,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5614,1938,3676
61,61,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5614,1936,3678
62,62,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3253,3375
63,63,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3088,3540
64,64,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6671,3933,2738
65,65,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6586,2945,3641
66,66,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2861,3768
67,67,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,3056,3573
68,68,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6633,2947,3686
69,69,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2862,3767
70,70,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5193,3237,1956
71,71,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6586,2869,3717
72,72,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5658,2016,3642
73,73,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,2887,3741
74,74,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2856,3773
75,75,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6588,2691,3897
76,76,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,1903,3754
77,77,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,2793,3835
78,78,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,3031,3598
79,79,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3060,3568
80,80,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,3140,3489
81,81,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6587,2948,3639
82,82,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5661,1904,3757
83,83,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5614,1999,3615
84,84,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,3013,3616
85,85,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3014,3614
86,86,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6164,2989,3175
87,87,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,2202,3455
88,88,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6632,2965,3667
89,89,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6165,2903,3262
90,90,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,2772,2843
91,91,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,2967,3662
92,92,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,2968,3660
93,93,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5614,2094,3520
94,94,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6632,2863,3769
95,95,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6591,3005,3586
96,96,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5657,2108,3549
97,97,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5615,1993,3622
98,98,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6632,3023,3609
99,99,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,2728,3900
100,100,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6633,3123,3510
101,101,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6629,3145,3484
102,102,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5618,2101,3517
103,103,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6632,2958,3674
104,104,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6586,2638,3948
105,105,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6671,2926,3745
106,106,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3011,3617
107,107,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6628,3023,3605
108,108,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,5614,1925,3689
109,109,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6632,2914,3718
110,110,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,6633,2939,3694
111,111,DirectX11,default,DirectX11_default,False,2,bitblt,True,bitblt_True,7603,1679,5924
