,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12675,-1,12676
1,1,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,9629,-1,9630
2,2,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11739,-1,11740
3,3,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,7686,-1,7687
4,4,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8702,-1,8703
5,5,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12715,-1,12716
6,6,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,7726,-1,7727
7,7,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11696,-1,11697
8,8,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11700,-1,11701
9,9,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8740,-1,8741
10,10,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10641,-1,10642
11,11,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8741,-1,8742
12,12,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11699,-1,11700
13,13,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8698,-1,8699
14,14,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10727,-1,10728
15,15,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11699,-1,11700
16,16,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8700,-1,8701
17,17,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,9715,-1,9716
18,18,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10727,-1,10728
19,19,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10684,-1,10685
20,20,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12711,-1,12712
21,21,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,7728,-1,7729
22,22,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11697,-1,11698
23,23,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,9670,-1,9671
24,24,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10767,-1,10768
25,25,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10686,-1,10687
26,26,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11700,-1,11701
27,27,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12710,-1,12711
28,28,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12715,-1,12716
29,29,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,9675,-1,9676
30,30,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8699,-1,8700
31,31,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11742,-1,11743
32,32,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12671,-1,12672
33,33,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8698,-1,8699
34,34,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10726,-1,10727
35,35,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,7731,-1,7732
36,36,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12671,-1,12672
37,37,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10727,-1,10728
38,38,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8739,-1,8740
39,39,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12668,-1,12669
40,40,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,11699,-1,11700
41,41,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,8702,-1,8703
42,42,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12710,-1,12711
43,43,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12713,-1,12714
44,44,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,12711,-1,12712
45,45,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,10685,-1,10686
46,46,FLTK,default,FLTK_default,False,,bitblt,False,bitblt_False,9713,-1,9714
