,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7942,2208,5734
1,1,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6589,2763,3826
2,2,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1391,6251
3,3,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7600,1429,6171
4,4,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1488,6155
5,5,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7601,1423,6178
6,6,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7603,1384,6219
7,7,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7179,3308,3871
8,8,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6632,2746,3886
9,9,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6587,1208,5379
10,10,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6672,2697,3975
11,11,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7603,1271,6332
12,12,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2714,3915
13,13,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6206,2146,4060
14,14,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6586,1111,5475
15,15,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7604,1536,6068
16,16,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6672,2887,3785
17,17,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7600,1432,6168
18,18,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6633,2804,3829
19,19,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1217,6425
20,20,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7601,1366,6235
21,21,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,1179,5450
22,22,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7646,1439,6207
23,23,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6628,2824,3804
24,24,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7603,1122,6481
25,25,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7600,1424,6176
26,26,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,1167,5462
27,27,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1483,6159
28,28,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7646,1384,6262
29,29,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2736,3893
30,30,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6630,2652,3978
31,31,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7603,1278,6325
32,32,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7600,1271,6329
33,33,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1162,6480
34,34,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2981,3648
35,35,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7644,1358,6286
36,36,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6586,1124,5462
37,37,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1527,6116
38,38,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7603,1290,6313
39,39,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1492,6150
40,40,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7641,1342,6299
41,41,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6586,2676,3910
42,42,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6670,1133,5537
43,43,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7600,1305,6295
44,44,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6628,1038,5590
45,45,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6628,2838,3790
46,46,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1321,6322
47,47,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7599,1365,6234
48,48,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7644,1369,6275
49,49,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,1158,5471
50,50,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7601,1395,6206
51,51,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1421,6222
52,52,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7600,1101,6499
53,53,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2651,3978
54,54,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6632,2710,3922
55,55,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1124,6519
56,56,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2698,3931
57,57,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7605,1478,6127
58,58,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6587,1147,5440
59,59,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2937,3692
60,60,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7644,1330,6314
61,61,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1326,6316
62,62,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7601,3729,3872
63,63,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2722,3907
64,64,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2821,3808
65,65,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6630,2897,3733
66,66,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,1128,5501
67,67,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6628,2751,3877
68,68,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6586,2703,3883
69,69,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7642,1356,6286
70,70,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6590,2646,3944
71,71,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7647,1369,6278
72,72,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7644,1449,6195
73,73,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6587,2851,3736
74,74,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1421,6222
75,75,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7647,1462,6185
76,76,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7601,1405,6196
77,77,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6629,2612,4017
78,78,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7643,1449,6194
79,79,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,7604,1323,6281
80,80,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6628,2757,3871
81,81,GLUT,default,GLUT_default,True,2,bitblt,True,bitblt_True,6586,2734,3852
