,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,14024,-1,14025
1,1,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11657,-1,11658
2,2,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
3,3,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13685,-1,13686
4,4,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
5,5,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12712,-1,12713
6,6,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13682,-1,13683
7,7,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
8,8,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13686,-1,13687
9,9,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13731,-1,13732
10,10,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13685,-1,13686
11,11,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12671,-1,12672
12,12,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
13,13,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8700,-1,8701
14,14,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13725,-1,13726
15,15,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11698,-1,11699
16,16,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
17,17,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8658,-1,8659
18,18,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
19,19,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,6713,-1,6714
20,20,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12671,-1,12672
21,21,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13725,-1,13726
22,22,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12715,-1,12716
23,23,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7728,-1,7729
24,24,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,6670,-1,6671
25,25,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13728,-1,13729
26,26,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12710,-1,12711
27,27,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11697,-1,11698
28,28,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11743,-1,11744
29,29,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7644,-1,7645
30,30,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13725,-1,13726
31,31,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8699,-1,8700
32,32,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
33,33,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
34,34,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12671,-1,12672
35,35,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12712,-1,12713
36,36,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
37,37,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7726,-1,7727
38,38,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12668,-1,12669
39,39,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
40,40,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12715,-1,12716
41,41,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11697,-1,11698
42,42,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12714,-1,12715
43,43,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
44,44,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
45,45,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
46,46,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12675,-1,12676
47,47,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8740,-1,8741
48,48,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,9713,-1,9714
49,49,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12710,-1,12711
50,50,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12668,-1,12669
51,51,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13728,-1,13729
52,52,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,9670,-1,9671
53,53,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13730,-1,13731
54,54,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12712,-1,12713
55,55,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,14699,-1,14700
56,56,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13724,-1,13725
57,57,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,14234,-1,14235
58,58,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12717,-1,12718
59,59,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12669,-1,12670
60,60,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
61,61,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
62,62,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7686,-1,7687
63,63,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13724,-1,13725
64,64,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11698,-1,11699
65,65,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13686,-1,13687
66,66,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
67,67,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13730,-1,13731
68,68,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13727,-1,13728
69,69,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12670,-1,12671
70,70,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12716,-1,12717
71,71,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
72,72,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8659,-1,8660
73,73,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13731,-1,13732
74,74,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8698,-1,8699
75,75,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12758,-1,12759
76,76,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,6671,-1,6672
77,77,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13682,-1,13683
78,78,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12758,-1,12759
79,79,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
80,80,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,10685,-1,10686
81,81,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7688,-1,7689
82,82,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,6713,-1,6714
83,83,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12716,-1,12717
84,84,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
85,85,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11696,-1,11697
86,86,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11698,-1,11699
87,87,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13724,-1,13725
88,88,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11698,-1,11699
89,89,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
90,90,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13685,-1,13686
91,91,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13726,-1,13727
92,92,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
93,93,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,9671,-1,9672
94,94,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,6672,-1,6673
95,95,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12755,-1,12756
96,96,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
97,97,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8700,-1,8701
98,98,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
99,99,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13222,-1,13223
100,100,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12714,-1,12715
101,101,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7728,-1,7729
102,102,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12671,-1,12672
103,103,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,9757,-1,9758
104,104,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,9672,-1,9673
105,105,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,6713,-1,6714
106,106,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,10687,-1,10688
107,107,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13729,-1,13730
108,108,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12715,-1,12716
109,109,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13685,-1,13686
110,110,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,14699,-1,14700
111,111,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12717,-1,12718
112,112,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
113,113,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7727,-1,7728
114,114,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13685,-1,13686
115,115,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13689,-1,13690
116,116,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11697,-1,11698
117,117,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
118,118,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11703,-1,11704
119,119,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7266,-1,7267
120,120,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13682,-1,13683
121,121,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13688,-1,13689
122,122,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,10683,-1,10684
123,123,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,7728,-1,7729
124,124,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
125,125,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12714,-1,12715
126,126,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12670,-1,12671
127,127,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
128,128,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8277,-1,8278
129,129,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12715,-1,12716
130,130,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12714,-1,12715
131,131,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11696,-1,11697
132,132,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13682,-1,13683
133,133,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
134,134,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,8234,-1,8235
135,135,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12755,-1,12756
136,136,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
137,137,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12713,-1,12714
138,138,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12674,-1,12675
139,139,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12714,-1,12715
140,140,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11698,-1,11699
141,141,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,13261,-1,13262
142,142,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,11699,-1,11700
143,143,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12669,-1,12670
144,144,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12716,-1,12717
145,145,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12717,-1,12718
146,146,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12710,-1,12711
147,147,JavaSwing,default,JavaSwing_default,False,,getdbits,False,getdbits_False,12711,-1,12712
