,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14235,-1,14236
1,1,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13643,-1,13644
2,2,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14744,-1,14745
3,3,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,10683,-1,10684
4,4,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,10688,-1,10689
5,5,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13725,-1,13726
6,6,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14742,-1,14743
7,7,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13682,-1,13683
8,8,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14700,-1,14701
9,9,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14698,-1,14699
10,10,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9712,-1,9713
11,11,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13728,-1,13729
12,12,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13687,-1,13688
13,13,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14696,-1,14697
14,14,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,16683,-1,16684
15,15,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14741,-1,14742
16,16,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14699,-1,14700
17,17,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13684,-1,13685
18,18,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13266,-1,13267
19,19,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14700,-1,14701
20,20,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13682,-1,13683
21,21,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9756,-1,9757
22,22,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,12669,-1,12670
23,23,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9713,-1,9714
24,24,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13724,-1,13725
25,25,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13685,-1,13686
26,26,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9712,-1,9713
27,27,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13731,-1,13732
28,28,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13682,-1,13683
29,29,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,11658,-1,11659
30,30,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14740,-1,14741
31,31,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14699,-1,14700
32,32,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,12714,-1,12715
33,33,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9712,-1,9713
34,34,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14699,-1,14700
35,35,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13731,-1,13732
36,36,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14660,-1,14661
37,37,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,14698,-1,14699
38,38,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9715,-1,9716
39,39,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,9715,-1,9716
40,40,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,10686,-1,10687
41,41,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13728,-1,13729
42,42,Qt5,default,Qt5_default,True,,windup_fullscreen,False,windup_fullscreen_False,13685,-1,13686
