,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25221,19136,6085
1,1,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24580,20777,3803
2,2,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24622,18820,5802
3,3,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24632,21432,3200
4,4,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,23611,20177,3434
5,5,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25645,19702,5943
6,6,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25594,19676,5918
7,7,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24628,21275,3353
8,8,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24627,21137,3490
9,9,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25592,22011,3581
10,10,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25646,19917,5729
11,11,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25646,19875,5771
12,12,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24583,20877,3706
13,13,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25643,19957,5686
14,14,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24587,21152,3435
15,15,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25640,19708,5932
16,16,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25640,19607,6033
17,17,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24621,21096,3525
18,18,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25635,19744,5891
19,19,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25593,19567,6026
20,20,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25644,19724,5920
21,21,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24589,21188,3401
22,22,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24631,18519,6112
23,23,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24631,21106,3525
24,24,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24628,18563,6065
25,25,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24624,21150,3474
26,26,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24632,21094,3538
27,27,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25603,19836,5767
28,28,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,26148,20407,5741
29,29,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24622,18497,6125
30,30,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24625,18581,6044
31,31,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25645,19502,6143
32,32,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25599,19947,5652
33,33,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25645,19565,6080
34,34,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24589,21149,3440
35,35,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24628,21035,3593
36,36,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,23613,17840,5773
37,37,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,28600,22611,5989
38,38,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25636,19581,6055
39,39,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24623,21244,3379
40,40,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24631,21041,3590
41,41,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24585,18631,5954
42,42,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24674,21059,3615
43,43,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,26616,20338,6278
44,44,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25642,19776,5866
45,45,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24588,21172,3416
46,46,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,23613,20119,3494
47,47,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,26655,20978,5677
48,48,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25601,19568,6033
49,49,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24674,21357,3317
50,50,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,23616,17658,5958
51,51,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,23613,19941,3672
52,52,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24626,21253,3373
53,53,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25641,19436,6205
54,54,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25636,19757,5879
55,55,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25593,19925,5668
56,56,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24632,21149,3483
57,57,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24628,18760,5868
58,58,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25641,19746,5895
59,59,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24628,18511,6117
60,60,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24626,18770,5856
61,61,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24581,18687,5894
62,62,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24624,18842,5782
63,63,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25638,19691,5947
64,64,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,22643,18893,3750
65,65,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25598,19820,5778
66,66,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24624,18401,6223
67,67,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25596,19276,6320
68,68,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25644,19654,5990
69,69,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25593,19778,5815
70,70,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24669,21196,3473
71,71,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25603,19538,6065
72,72,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24625,18610,6015
73,73,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24580,20996,3584
