,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,11153,-1,11154
1,1,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,16178,-1,16179
2,2,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13686,-1,13687
3,3,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13728,-1,13729
4,4,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13263,-1,13264
5,5,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,11701,-1,11702
6,6,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,14699,-1,14700
7,7,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13724,-1,13725
8,8,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13686,-1,13687
9,9,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,10725,-1,10726
10,10,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,11657,-1,11658
11,11,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,11697,-1,11698
12,12,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13730,-1,13731
13,13,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13685,-1,13686
14,14,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,14273,-1,14274
15,15,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,10689,-1,10690
16,16,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,10685,-1,10686
17,17,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13731,-1,13732
18,18,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,14234,-1,14235
19,19,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13724,-1,13725
20,20,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,14695,-1,14696
21,21,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,10689,-1,10690
22,22,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,14696,-1,14697
23,23,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,12713,-1,12714
24,24,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,14700,-1,14701
25,25,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13682,-1,13683
26,26,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13725,-1,13726
27,27,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,16683,-1,16684
28,28,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13724,-1,13725
29,29,Qt6,default,Qt6_default,True,,getdbits,False,getdbits_False,13726,-1,13727
