,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10055,3910,6145
1,1,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8572,5146,3426
2,2,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8655,4687,3968
3,3,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8614,4595,4019
4,4,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9628,5566,4062
5,5,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8657,4563,4094
6,6,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,11570,5525,6045
7,7,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8614,4892,3722
8,8,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9672,5568,4104
9,9,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,3585,6044
10,10,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10601,4451,6150
11,11,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8614,4909,3705
12,12,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3401,6226
13,13,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8659,4939,3720
14,14,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9589,3442,6147
15,15,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10640,4192,6448
16,16,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,5658,3971
17,17,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,11617,4635,6982
18,18,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10601,4088,6513
19,19,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9631,5615,4016
20,20,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10640,4445,6195
21,21,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8615,4728,3887
22,22,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9632,3535,6097
23,23,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10599,4434,6165
24,24,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,5308,4319
25,25,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10643,4205,6438
26,26,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10640,4120,6520
27,27,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,11574,4480,7094
28,28,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8656,5128,3528
29,29,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10646,4548,6098
30,30,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9588,3421,6167
31,31,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9598,3474,6124
32,32,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9671,5646,4025
33,33,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,5647,3982
34,34,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10602,6647,3955
35,35,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10641,4569,6072
36,36,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9585,3368,6217
37,37,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,5712,3917
38,38,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,5373,4254
39,39,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,5653,3976
40,40,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3501,6126
41,41,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8615,4653,3962
42,42,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,5504,4123
43,43,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10601,4493,6108
44,44,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9628,3492,6136
45,45,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,12629,4137,8492
46,46,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10641,4480,6161
47,47,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,5609,4018
48,48,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9587,3433,6154
49,49,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9669,5601,4068
50,50,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8575,4644,3931
51,51,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8657,4628,4029
52,52,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9585,5226,4359
53,53,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9671,5593,4078
54,54,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10599,4388,6211
55,55,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10643,4243,6400
56,56,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8613,4572,4041
57,57,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9631,5567,4064
58,58,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9631,3456,6175
59,59,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9628,3339,6289
60,60,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10603,4094,6509
61,61,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8614,4532,4082
62,62,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3465,6162
63,63,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3360,6267
64,64,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9628,3388,6240
65,65,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8614,4928,3686
66,66,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9633,5557,4076
67,67,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9585,5586,3999
68,68,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8656,4642,4014
69,69,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,5580,4049
70,70,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10598,4354,6244
71,71,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9633,5600,4033
72,72,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8615,4527,4088
73,73,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9629,3475,6154
74,74,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8658,4614,4044
75,75,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8619,4467,4152
76,76,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3512,6115
77,77,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10601,4121,6480
78,78,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,5658,3969
79,79,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10602,4376,6226
80,80,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8656,4517,4139
81,81,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9587,5666,3921
82,82,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8613,4688,3925
83,83,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10647,4414,6233
84,84,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9632,5588,4044
85,85,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10601,4431,6170
86,86,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10643,4077,6566
87,87,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9632,5722,3910
88,88,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9585,5622,3963
89,89,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,8658,4764,3894
90,90,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9628,3515,6113
91,91,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9587,5623,3964
92,92,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9631,5627,4004
93,93,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9632,5600,4032
94,94,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3530,6097
95,95,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,5690,3937
96,96,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10605,4154,6451
97,97,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10643,4019,6624
98,98,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,11613,5465,6148
99,99,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9633,6162,3471
100,100,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,10598,4759,5839
101,101,Qt6,default,Qt6_default,True,2,getpixel,True,getpixel_True,9627,3490,6137
