,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24879,19127,5752
1,1,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22594,19196,3398
2,2,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22600,16632,5968
3,3,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23653,17888,5765
4,4,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23612,20213,3399
5,5,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22640,16461,6179
6,6,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22598,19355,3243
7,7,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23650,17758,5892
8,8,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22599,19165,3434
9,9,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22603,16915,5688
10,10,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22644,19153,3491
11,11,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23650,17469,6181
12,12,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24586,18931,5655
13,13,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22599,19178,3421
14,14,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24627,18792,5835
15,15,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22641,19212,3429
16,16,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,17461,6150
17,17,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,25636,19779,5857
18,18,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22599,19140,3459
19,19,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23616,20076,3540
20,20,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24621,18829,5792
21,21,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,17863,5748
22,22,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22640,19177,3463
23,23,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22599,18915,3684
24,24,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23653,20217,3436
25,25,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23617,17561,6056
26,26,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22176,18308,3868
27,27,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23613,20067,3546
28,28,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22603,18960,3643
29,29,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22602,19149,3453
30,30,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22643,16731,5912
31,31,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24625,18867,5758
32,32,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,17647,5964
33,33,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22637,19228,3409
34,34,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22636,19268,3368
35,35,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22600,16653,5947
36,36,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23614,17574,6040
37,37,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22678,19273,3405
38,38,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,17560,6051
39,39,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23575,20388,3187
40,40,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22641,19358,3283
41,41,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22597,19168,3429
42,42,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22640,16597,6043
43,43,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23650,17316,6334
44,44,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24630,18862,5768
45,45,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22603,18879,3724
46,46,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24625,18938,5687
47,47,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23613,18078,5535
48,48,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24631,18858,5773
49,49,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22603,16756,5847
50,50,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22643,19399,3244
51,51,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22639,19085,3554
52,52,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23609,17460,6149
53,53,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23614,17622,5992
54,54,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23617,20205,3412
55,55,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23649,19974,3675
56,56,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22598,16705,5893
57,57,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23608,17475,6133
58,58,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22636,19206,3430
59,59,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22596,16821,5775
60,60,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23610,17663,5947
61,61,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23652,17913,5739
62,62,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23617,20126,3491
63,63,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22640,16617,6023
64,64,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23608,20260,3348
65,65,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23609,20081,3528
66,66,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22640,19219,3421
67,67,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22637,19052,3585
68,68,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23143,19651,3492
69,69,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22599,18967,3632
70,70,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23650,17620,6030
71,71,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,20183,3428
72,72,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23610,19882,3728
73,73,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22596,18712,3884
74,74,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23659,17762,5897
75,75,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24621,18766,5855
76,76,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,25597,19663,5934
77,77,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23653,20162,3491
78,78,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23608,17566,6042
79,79,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24622,18872,5750
80,80,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,17619,5992
81,81,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23611,17587,6024
82,82,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23617,20226,3391
83,83,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22640,18560,4080
84,84,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24625,18555,6070
85,85,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24631,18843,5788
86,86,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24585,18879,5706
87,87,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22639,19182,3457
88,88,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,25639,19759,5880
89,89,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22595,19415,3180
90,90,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,22641,18896,3745
91,91,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,27627,21562,6065
92,92,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24623,18728,5895
93,93,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23615,17492,6123
94,94,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,24625,19172,5453
95,95,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23612,20073,3539
96,96,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23610,17598,6012
97,97,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23608,20189,3419
98,98,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23190,19755,3435
99,99,508\r\n',Qt6,rects,Qt6_rects,True,2,getdbits,True,getdbits_True,23612,17546,6066
