,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5450,3234,2216
1,1,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6588,3841,2747
2,2,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6628,4044,2584
3,3,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6629,4061,2568
4,4,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5656,3035,2621
5,5,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5616,2930,2686
6,6,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6587,3885,2702
7,7,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6629,4001,2628
8,8,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5658,2723,2935
9,9,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6586,3964,2622
10,10,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6630,4055,2575
11,11,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5615,2884,2731
12,12,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5614,3158,2456
13,13,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6671,4065,2606
14,14,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5615,3003,2612
15,15,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6167,3593,2574
16,16,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,6628,3983,2645
17,17,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getdbits,True,getdbits_True,5616,3119,2497
