,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5369,3234,2135
1,1,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6586,3980,2606
2,2,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5619,2961,2658
3,3,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2774,2841
4,4,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6629,4053,2576
5,5,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6628,4022,2606
6,6,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6587,3990,2597
7,7,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6670,4002,2668
8,8,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5573,2817,2756
9,9,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6671,4043,2628
10,10,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6628,4056,2572
11,11,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5616,2947,2669
12,12,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5616,2879,2737
13,13,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2916,2699
14,14,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5657,2983,2674
15,15,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5614,3242,2372
16,16,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5614,2918,2696
17,17,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6628,3984,2644
18,18,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5616,2789,2827
19,19,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,3237,2378
20,20,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6629,4026,2603
21,21,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6628,4026,2602
22,22,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2902,2713
23,23,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2840,2775
24,24,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6629,4033,2596
25,25,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6628,3995,2633
26,26,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6629,3893,2736
27,27,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2843,2772
28,28,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6630,3862,2768
29,29,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2996,2619
30,30,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5660,2885,2775
31,31,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6587,3893,2694
32,32,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5657,3002,2655
33,33,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,2783,2832
34,34,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6586,4022,2564
35,35,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5192,3004,2188
36,36,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6586,3901,2685
37,37,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6629,3969,2660
38,38,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6674,3995,2679
39,39,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6586,3953,2633
40,40,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,6628,4070,2558
41,41,SDL2_Direct3D,rects,SDL2_Direct3D_rects,True,3,getpixel,True,getpixel_True,5615,3008,2607
