,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7605,3932,3673
1,1,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5576,1911,3665
2,2,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,1062,5566
3,3,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6671,2881,3790
4,4,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1676,3939
5,5,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,3025,3604
6,6,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7643,1271,6372
7,7,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7602,1219,6383
8,8,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2812,3816
9,9,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6588,1118,5470
10,10,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5658,1771,3887
11,11,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5616,1655,3961
12,12,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6586,2737,3849
13,13,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7643,1409,6234
14,14,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2629,4001
15,15,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1665,3950
16,16,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5618,1729,3889
17,17,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6633,2736,3897
18,18,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1686,3929
19,19,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,2759,3870
20,20,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7642,1085,6557
21,21,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,2639,3990
22,22,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2862,3768
23,23,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5614,1671,3943
24,24,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1856,3759
25,25,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7603,1224,6379
26,26,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1703,3912
27,27,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7642,1084,6558
28,28,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6632,2720,3912
29,29,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7642,1241,6401
30,30,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7643,1286,6357
31,31,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6588,2733,3855
32,32,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1723,3892
33,33,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2745,3883
34,34,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7644,1360,6284
35,35,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5614,1721,3893
36,36,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5614,1681,3933
37,37,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,2801,3828
38,38,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2744,3884
39,39,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7604,1138,6466
40,40,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5614,1720,3894
41,41,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,2782,3847
42,42,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5619,1839,3780
43,43,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7643,1314,6329
44,44,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1794,3821
45,45,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7644,1405,6239
46,46,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7601,1357,6244
47,47,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2763,3865
48,48,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6122,2199,3923
49,49,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2885,3745
50,50,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5614,1815,3799
51,51,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6586,1185,5401
52,52,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5658,1739,3919
53,53,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2816,3814
54,54,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2804,3824
55,55,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,1148,5481
56,56,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2695,3933
57,57,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5616,1702,3914
58,58,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7600,1094,6506
59,59,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6671,2773,3898
60,60,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7136,3275,3861
61,61,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7603,1124,6479
62,62,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7643,1298,6345
63,63,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7178,3345,3833
64,64,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7601,1274,6327
65,65,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6632,2864,3768
66,66,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5661,1701,3960
67,67,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6587,1118,5469
68,68,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5657,1747,3910
69,69,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6586,1129,5457
70,70,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,1119,5509
71,71,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,2738,3891
72,72,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2786,3842
73,73,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2802,3828
74,74,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,1106,5523
75,75,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2686,3942
76,76,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,1244,5384
77,77,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,2678,3951
78,78,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2776,3854
79,79,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1756,3859
80,80,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1924,3691
81,81,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6630,2689,3941
82,82,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6586,1078,5508
83,83,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6671,2833,3838
84,84,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7600,1132,6468
85,85,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6671,2799,3872
86,86,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5573,1720,3853
87,87,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7600,1167,6433
88,88,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6671,2852,3819
89,89,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1811,3804
90,90,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,1101,5528
91,91,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5614,1785,3829
92,92,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,1815,3800
93,93,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6672,2772,3900
94,94,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6586,1112,5474
95,95,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6632,2827,3805
96,96,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6628,2753,3875
97,97,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,5615,2023,3592
98,98,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6629,1103,5526
99,99,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,6587,2725,3862
100,100,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,bitblt,True,bitblt_True,7689,1067,6622
