,id,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6591,2904,3687
1,1,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6591,2709,3882
2,2,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,7646,1228,6418
3,3,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6587,1008,5579
4,4,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6633,2782,3851
5,5,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6629,1064,5565
6,6,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6628,2696,3932
7,7,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6632,2728,3904
8,8,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,8192,1248,6944
9,9,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,5572,1761,3811
10,10,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,7642,1037,6605
11,11,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,7645,1279,6366
12,12,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,7604,1276,6328
13,13,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,5657,1645,4012
14,14,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6586,1058,5528
15,15,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6631,2708,3923
16,16,SDL2_OpenGLES,default,SDL2_OpenGLES_default,False,2,getdbits,True,getdbits_True,6629,1111,5518
