,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
0,0,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6044,2602,3442
1,1,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5573,2024,3549
2,2,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4643,2268,2375
3,3,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6630,2128,4502
4,4,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1433,4182
5,5,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2112,3503
6,6,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4644,2298,2346
7,7,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4601,2210,2391
8,8,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,8657,2222,6435
9,9,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,2125,4504
10,10,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1455,4160
11,11,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2028,3587
12,12,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,2085,4544
13,13,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4601,2154,2447
14,14,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6671,2102,4569
15,15,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5572,1518,4054
16,16,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6671,2160,4511
17,17,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4602,2280,2322
18,18,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6630,2072,4558
19,19,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5618,2025,3593
20,20,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6630,2088,4542
21,21,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4605,2258,2347
22,22,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,7642,1976,5666
23,23,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,1994,4635
24,24,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6165,2043,4122
25,25,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5614,1644,3970
26,26,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5657,2138,3519
27,27,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6586,2083,4503
28,28,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1568,4047
29,29,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6628,2128,4500
30,30,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5658,1471,4187
31,31,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,1980,4649
32,32,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6586,2110,4476
33,33,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5658,1518,4140
34,34,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5614,2170,3444
35,35,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5657,1524,4133
36,36,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5573,3155,2418
37,37,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,8660,2101,6559
38,38,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,7601,2041,5560
39,39,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5656,1427,4229
40,40,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4601,2190,2411
41,41,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,7647,2118,5529
42,42,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5573,2034,3539
43,43,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4643,2240,2403
44,44,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6628,2050,4578
45,45,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,2090,4539
